date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	1.3728652708333333	true	0.413	2.333	ms	"0.496789 0.588577 0.980015 1.240495 1.254034 1.296791 1.34968 1.717181 0.488044 0.642069 1.238327 1.306259 1.741089 3.197401 4.257386 6.479412 0.579617 0.68958 1.119562 1.141547 1.191514 1.195705 1.407002 2.815029 0.538983 0.673057 0.941851 1.206525 1.232286 1.239346 1.249052 1.784387 0.532656 0.683249 1.078184 1.1671 1.188016 1.188898 1.195962 1.88278 0.446235 0.640019 1.103477 1.1967 1.259447 1.302206 1.59301 2.161002"
2014-06-10T12:34:10Z	1000000	8	0.4454680416666667	true	0.382	0.509	ms	"0.347707 0.349227 0.35087 0.3831 0.387337 0.406796 0.408953 0.468597 0.356359 0.357495 0.427715 0.464566 0.478437 0.522091 0.558463 0.569019 0.376584 0.384333 0.384501 0.384654 0.429087 0.439404 0.447924 0.544725 0.370637 0.410104 0.419011 0.430199 0.467633 0.476295 0.500072 0.523249 0.394452 0.422449 0.440774 0.444981 0.481875 0.526504 0.564546 0.570658 0.352472 0.399135 0.436596 0.444002 0.455549 0.493317 0.559461 0.570551"
2014-06-10T12:34:10Z	1000000	2	0.7399173125000001	true	0.680	0.800	ms	"0.654022 0.660393 0.692302 0.69857 0.704214 0.749868 0.762611 0.801626 0.664026 0.679101 0.70838 0.717818 0.765538 0.809935 0.826936 0.860657 0.642872 0.697536 0.722755 0.724569 0.738083 0.746618 0.754216 0.777036 0.640401 0.676693 0.697057 0.702205 0.787271 0.804776 0.817691 0.833348 0.653513 0.658894 0.703612 0.707408 0.75137 0.759459 0.77454 0.80962 0.668925 0.672856 0.747716 0.752233 0.770882 0.798557 0.867149 0.900173"
2014-06-10T12:34:10Z	1000000	1	1.1408337500000003	true	1.120	1.162	ms	"1.139438 1.139989 1.140168 1.140435 1.141389 1.146067 1.147084 1.179078 1.14218 1.142385 1.143606 1.144054 1.144589 1.14734 1.157354 1.177713 1.092519 1.092551 1.093048 1.093473 1.093483 1.0993 1.100504 1.144028 1.141568 1.141982 1.142079 1.143962 1.145138 1.148024 1.148899 1.177975 1.140434 1.141467 1.141551 1.141894 1.145396 1.145651 1.154721 1.19059 1.141303 1.141416 1.141651 1.141924 1.141928 1.142263 1.149112 1.187317"
2014-06-10T12:34:10Z	1000000	32	1.3344728541666664	true	0.413	2.256	ms	"0.471301 0.553722 0.759237 1.167385 1.447699 1.507613 2.313917 3.404212 0.391677 0.453022 0.460452 0.733234 1.344898 1.627569 3.070973 3.703761 0.5924 0.65071 1.154687 1.209171 1.256683 1.450863 2.23622 2.833276 0.316541 0.484867 0.561173 1.188273 1.265582 1.631651 3.103635 3.692283 0.476759 0.523474 0.638425 0.653127 0.67079 0.68472 0.713852 0.801747 0.373698 0.534307 0.811861 1.204789 1.349456 1.558755 2.476786 3.543464"
2014-06-10T12:34:10Z	1000000	4	0.4900490208333334	true	0.439	0.541	ms	"0.44794 0.464704 0.468708 0.4843 0.489295 0.492287 0.505662 0.519806 0.444751 0.455013 0.519233 0.537571 0.549657 0.588072 0.607725 0.637212 0.42033 0.424036 0.436478 0.445698 0.450862 0.459605 0.465999 0.503378 0.426275 0.430927 0.482962 0.48789 0.488164 0.496263 0.51452 0.57646 0.434852 0.441946 0.445155 0.453953 0.455781 0.465751 0.487213 0.589539 0.431182 0.435298 0.477605 0.498367 0.499405 0.525058 0.547835 0.61163"
2014-06-10T12:34:10Z	1000000	16	0.46645956250000004	true	0.352	0.581	ms	"0.344514 0.346691 0.356177 0.421834 0.48013 0.489011 0.498082 0.546713 0.27426 0.338097 0.380771 0.46838 0.472912 0.476075 0.705436 0.804678 0.346079 0.413273 0.41648 0.467856 0.59842 0.711124 0.77025 0.817395 0.367286 0.382595 0.38745 0.396316 0.412165 0.435082 0.441441 0.490913 0.339738 0.385565 0.387722 0.393494 0.448599 0.473748 0.505989 0.512557 0.371013 0.372092 0.394931 0.444704 0.477031 0.504921 0.536383 0.583686"
2014-06-10T12:34:10Z	3000000	64	1.1766361041666666	true	0.961	1.392	ms	"0.907885 0.961745 1.030001 1.052979 1.066722 1.083979 1.16417 1.301043 0.980624 1.035038 1.152395 1.198118 1.199422 1.233591 1.239731 1.538419 1.031233 1.302583 1.329095 1.331226 1.539548 1.546009 1.609432 1.700117 0.818109 0.843337 0.882973 0.891034 0.931357 0.938027 1.107952 1.289674 0.931955 1.09078 1.248991 1.319677 1.444327 1.510461 1.523535 1.547265 0.884092 0.979218 0.989178 1.038362 1.078839 1.143328 1.156379 1.354578"
2014-06-10T12:34:10Z	3000000	8	0.8667483750000001	true	0.748	0.985	ms	"0.747446 0.753976 0.776724 0.780941 0.809111 0.879087 0.883113 0.991242 0.64569 0.657909 0.695196 0.699721 0.760094 0.780451 0.802601 0.998442 0.745898 0.783919 0.806376 0.840783 0.8445 0.885904 0.91089 1.113459 0.746656 0.800567 0.847436 0.880515 0.900285 0.919405 0.971143 1.137122 0.755524 0.822072 0.830995 0.831803 0.856187 0.914318 0.956703 1.222969 0.852476 0.86469 0.879759 0.88437 0.96654 0.972531 0.984808 1.211575"
2014-06-10T12:34:10Z	3000000	2	2.071547583333333	true	1.842	2.301	ms	"1.770648 1.876434 2.194488 2.203825 2.286368 2.321579 2.353346 2.418104 1.723188 1.746633 1.761328 1.76527 1.775866 1.779957 1.797841 1.888104 1.704048 1.7201 1.793571 1.907862 2.010779 2.315527 2.322534 2.36182 2.013962 2.044125 2.085786 2.213096 2.23615 2.24073 2.485219 2.514416 1.796411 1.934792 2.037068 2.087422 2.246366 2.371496 2.420419 2.45275 1.812908 1.867182 1.950618 2.116239 2.120783 2.173621 2.180648 2.232857"
