date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	2.371924875	true	0.640	4.104	ms	"0.959505 0.965924 1.323735 2.071677 2.491087 2.560851 2.892 6.959717 0.805415 0.828273 0.867971 1.008685 2.586475 3.12111 6.003979 7.871911 0.766668 0.833275 1.115771 1.37358 2.537297 2.882174 3.158337 7.793519 0.889207 1.003229 1.07629 1.765444 2.517635 2.814245 3.031675 6.47277 0.799295 0.922793 2.352032 2.427238 2.836547 3.563701 3.673894 4.000868 1.042879 1.176782 1.187466 1.230399 1.266497 1.329828 1.340775 1.351969"
2014-06-10T12:34:10Z	1000000	8	0.9388494166666668	true	0.847	1.030	ms	"0.939348 0.946857 0.985943 0.987295 1.076945 1.084046 1.130372 1.130904 0.766938 0.797548 0.810102 0.828521 0.828763 0.841676 0.844378 0.85839 0.737426 0.80873 0.883297 0.900361 0.928951 1.003885 1.010762 1.048054 0.88041 0.882861 0.905373 0.933047 0.944011 0.952571 0.970859 1.048048 0.909587 0.937314 0.951459 0.953657 0.97185 0.996853 1.086048 1.104934 0.818857 0.828863 0.85776 0.924148 0.967483 0.971013 1.0281 1.060174"
2014-06-10T12:34:10Z	1000000	2	1.5819169791666665	true	1.511	1.653	ms	"1.467413 1.510745 1.550705 1.551096 1.614605 1.694067 1.707849 1.774945 1.499602 1.581299 1.5987 1.599998 1.603155 1.619531 1.628133 1.642198 1.48856 1.524468 1.585295 1.606393 1.608222 1.633696 1.638269 1.646381 1.506683 1.512958 1.527673 1.5278 1.533075 1.542358 1.543492 1.58024 1.460179 1.472986 1.485965 1.488327 1.512492 1.513048 1.530641 1.580536 1.542563 1.611924 1.626825 1.630597 1.683386 1.689043 1.719757 1.734142"
2014-06-10T12:34:10Z	1000000	1	2.383553583333334	true	2.367	2.400	ms	"2.371476 2.373686 2.37818 2.380419 2.380621 2.383527 2.385324 2.436457 2.365183 2.365739 2.36914 2.375208 2.375347 2.377814 2.378342 2.416271 2.378852 2.38457 2.390325 2.391203 2.391745 2.391811 2.393708 2.426669 2.368599 2.373198 2.374013 2.374925 2.375297 2.377364 2.392092 2.427908 2.364429 2.364933 2.369684 2.369852 2.370784 2.370867 2.371596 2.428335 2.369791 2.371013 2.377999 2.382935 2.384097 2.389272 2.393842 2.40613"
2014-06-10T12:34:10Z	1000000	32	1.5129936458333333	true	0.624	2.402	ms	"0.76004 0.793422 0.850381 0.913361 0.941646 0.95394 1.01428 1.282374 0.781696 0.790381 0.836115 0.916499 2.279362 2.809613 3.74334 4.302575 0.806383 0.810785 0.828252 0.84373 0.952357 0.989705 0.993203 1.010307 0.730759 0.753658 0.824709 0.88554 1.776869 2.3196 3.008501 3.040918 0.770889 0.825674 0.845195 1.436599 1.674934 1.872692 2.910859 3.012376 0.921462 0.949352 0.956496 1.207571 2.297394 2.612655 2.884735 2.900511"
2014-06-10T12:34:10Z	1000000	4	1.0168614166666663	true	0.937	1.097	ms	"0.926895 0.994791 1.016401 1.028563 1.057236 1.06685 1.083209 1.141169 0.902255 0.947069 0.95745 0.960431 0.969047 0.986217 0.987036 1.021275 1.092028 1.095064 1.125093 1.140827 1.192332 1.193916 1.209227 1.23087 0.922499 0.937738 0.941714 0.94835 0.955883 0.962703 0.969976 0.98206 0.911927 0.958683 0.973664 0.983655 1.028544 1.035838 1.078253 1.097871 0.900326 0.901704 0.950883 0.953386 0.986239 1.00759 1.025149 1.069462"
2014-06-10T12:34:10Z	1000000	16	0.8345581874999999	true	0.773	0.896	ms	"0.733043 0.743694 0.754039 0.795232 0.823727 0.844881 0.909611 0.925581 0.777065 0.787486 0.801953 0.816491 0.841703 0.847895 0.867774 0.879216 0.801835 0.826174 0.834442 0.84064 0.841866 0.879774 0.882489 0.91809 0.717065 0.73959 0.812948 0.828408 0.864075 0.878608 0.945742 1.055979 0.708393 0.751288 0.752859 0.761247 0.771689 0.812321 0.831737 0.848321 0.851026 0.852724 0.870008 0.877597 0.883232 0.884033 0.889292 0.89591"
2014-06-10T12:34:10Z	3000000	64	2.2560034583333333	true	2.049	2.463	ms	"1.935935 1.958361 2.013456 2.053762 2.137427 2.215948 2.248512 2.274193 1.953219 1.959614 2.001571 2.095113 2.161968 2.196532 2.226522 2.239076 2.125829 2.133793 2.208962 2.234324 2.35314 2.426895 2.475793 2.537841 1.914291 2.108223 2.212632 2.301134 2.449375 2.648303 2.700557 2.877482 2.010726 2.024847 2.207538 2.264588 2.281439 2.444268 2.575034 2.611194 2.005001 2.200188 2.242851 2.252722 2.355765 2.424504 2.503069 2.504649"
2014-06-10T12:34:10Z	3000000	8	2.2820412708333344	true	2.049	2.515	ms	"2.06828 2.302202 2.32811 2.346166 2.427825 2.460596 2.724839 2.837139 1.690191 2.05103 2.065095 2.096857 2.097818 2.187731 2.202312 2.371667 1.755132 1.926465 1.980032 2.092097 2.097046 2.105185 2.113528 2.151684 2.13987 2.188611 2.334436 2.355677 2.412153 2.451739 2.464961 2.662105 2.101251 2.246927 2.472758 2.476736 2.499551 2.537565 2.594393 2.696402 2.042218 2.066168 2.206159 2.250466 2.314434 2.378289 2.381622 2.784463"
2014-06-10T12:34:10Z	3000000	2	4.444100770833333	true	4.067	4.821	ms	"4.430313 4.545314 4.670704 4.828457 5.00873 5.022966 5.285425 5.544433 4.059724 4.372885 4.385884 4.473316 4.488538 4.520604 4.620603 4.793562 3.747024 3.765518 3.776568 3.79436 3.794946 3.814743 3.822042 4.09091 4.218516 4.372695 4.39644 4.478196 4.61618 4.755659 4.939906 5.053643 4.191879 4.249425 4.251516 4.261299 4.386037 4.394887 4.398493 4.39861 4.220935 4.380025 4.390715 4.434001 4.604601 4.607851 4.682478 4.975281"
2014-06-10T12:34:10Z	3000000	1	7.130033770833332	true	7.064	7.196	ms	"7.105939 7.113172 7.113183 7.115557 7.12854 7.15621 7.176537 7.293316 7.090014 7.096993 7.097604 7.099515 7.099983 7.104206 7.110221 7.297832 7.115892 7.118398 7.121803 7.122104 7.140934 7.150806 7.154007 7.368424 7.087339 7.088247 7.08867 7.09017 7.091196 7.098799 7.113868 7.294828 7.056411 7.068269 7.069199 7.07673 7.077707 7.09042 7.090774 7.271072 7.082205 7.085464 7.091204 7.09135 7.094296 7.121586 7.142512 7.288115"
2014-06-10T12:34:10Z	3000000	32	2.018074999999999	true	1.828	2.208	ms	"1.740544 1.805022 1.8134 1.821376 1.821941 1.855108 1.861278 1.890981 1.535423 1.769539 1.786981 1.825203 1.840893 1.977277 2.144787 2.221583 1.921537 1.989505 2.050231 2.071525 2.132279 2.169938 2.301326 2.305398 1.823863 1.963531 2.030531 2.070835 2.217568 2.233214 2.377416 2.615055 1.92835 1.987385 2.009385 2.06231 2.128658 2.129714 2.202507 2.355143 1.848611 1.857563 1.922238 1.94801 1.990217 2.090814 2.163861 2.257746"
2014-06-10T12:34:10Z	3000000	4	2.841439124999999	true	2.563	3.120	ms	"2.762076 2.808611 2.814461 2.817463 2.848745 2.872136 2.93129 2.937837 2.433717 2.508597 2.582919 2.626738 2.734468 2.782497 3.004827 3.080693 3.2565 3.33299 3.349697 3.3707 3.413602 3.488165 3.505336 3.515115 2.458767 2.620841 2.659552 2.683343 2.760971 2.983902 3.011839 3.038428 2.463176 2.557019 2.566887 2.578549 2.596742 2.634571 2.636062 2.661781 2.625915 2.630786 2.671567 2.681692 2.719751 2.738497 2.741569 2.887691"
2014-06-10T12:34:10Z	3000000	16	2.092874354166667	true	1.843	2.342	ms	"1.605011 1.701044 1.847925 1.85902 1.930598 2.037608 2.356794 2.361323 1.714869 1.815632 1.838253 1.945043 1.969344 2.089378 2.143545 2.174615 2.070531 2.144618 2.186781 2.26305 2.548954 2.658414 2.831302 2.893009 1.911312 1.957164 1.973099 2.052111 2.068081 2.138265 2.193349 2.244332 1.741691 1.8329 1.907283 1.934464 1.952409 2.058847 2.110167 2.280365 1.949054 1.968612 2.038062 2.087558 2.136946 2.26093 2.327602 2.346705"
2014-06-10T12:34:10Z	5000000	64	3.591100854166666	true	2.681	4.501	ms	"2.962438 3.059077 3.133899 3.137066 3.155845 3.190412 3.207161 3.302997 2.940943 2.978876 2.99638 3.12411 3.138127 3.169684 3.180575 3.274137 3.238282 3.282883 3.3397 3.562902 3.678398 3.694874 3.783823 3.803708 2.904624 3.101242 3.117089 3.126091 3.130227 3.208414 3.39586 3.432377 3.391998 4.531587 4.757921 4.82686 5.650448 5.65954 6.581266 7.600853 2.91326 2.954255 3.03624 3.059866 3.225856 3.389243 3.452759 3.588668"
2014-06-10T12:34:10Z	5000000	8	3.8694866458333324	true	3.424	4.315	ms	"3.552396 3.883355 4.092208 4.10514 4.368804 4.443127 4.616009 5.063449 3.057091 3.103302 3.185292 3.240169 3.333386 3.412276 3.500788 3.525845 3.474987 3.77308 4.115663 4.344881 4.407139 4.525429 4.63209 4.668677 3.509266 3.810087 3.834376 3.941685 3.982601 4.176487 4.252038 4.369936 3.328496 3.754963 3.873552 3.902422 3.959666 3.971948 4.022084 4.415329 3.04367 3.258717 3.526583 3.541681 3.576305 3.737844 3.745879 3.775161"
2014-06-10T12:34:10Z	5000000	2	7.498832125	true	6.997	8.001	ms	"7.298027 7.318097 7.427728 7.594716 7.620892 7.663968 7.738592 7.828663 7.230703 7.308814 7.342037 7.642963 7.671862 7.711899 7.767031 8.33308 6.442389 6.460054 6.463368 6.51434 6.518873 6.642903 6.677416 7.134067 7.073111 7.564979 7.87141 8.027962 8.124153 8.394077 8.427778 8.459317 7.260137 7.424339 7.562245 7.572258 7.580666 7.634621 7.667069 7.742191 7.033233 7.092278 7.220373 7.677626 7.821499 7.990434 8.10151 8.268194"
2014-06-10T12:34:10Z	5000000	1	12.076456375	true	11.900	12.253	ms	"11.956022 11.966277 11.976563 11.989625 11.992161 12.030968 12.044969 12.214769 11.916762 11.93265 11.940262 11.97943 11.993268 12.009489 12.045031 12.287148 12.189729 12.210085 12.211318 12.221871 12.222906 12.304152 12.627147 12.935406 11.923159 11.936463 11.9454 11.95703 11.964012 11.970723 12.092075 12.294355 12.008684 12.016896 12.017744 12.020056 12.021382 12.026171 12.093864 12.179322 11.927984 11.948614 11.951176 11.954088 11.961279 12.007297 12.023868 12.230256"
2014-06-10T12:34:10Z	5000000	32	3.2494412500000003	true	2.814	3.685	ms	"2.782938 2.83321 2.997843 3.034197 3.059053 3.128995 3.140089 3.39599 3.136677 3.398807 3.819601 3.914984 4.219912 4.220345 4.225477 5.236681 2.958061 3.16087 3.179904 3.329386 3.389637 3.424204 3.438045 3.442847 2.948207 2.977435 3.004595 3.066103 3.096801 3.148079 3.213644 3.375136 2.667147 2.707489 2.836862 2.84435 2.924308 2.946762 3.055131 3.072278 2.924117 3.003513 3.043865 3.090942 3.177897 3.24985 3.335395 3.395521"
2014-06-10T12:34:10Z	5000000	4	4.568096000000001	true	4.046	5.090	ms	"4.058301 4.217527 4.289607 4.297836 4.372017 4.568492 4.616116 4.640227 4.453289 4.481377 4.488071 4.492318 4.523119 4.613456 4.619301 4.647913 4.984235 5.213779 5.243688 5.245908 5.63626 5.81611 5.894786 6.264969 4.226935 4.424404 4.42483 4.535617 4.663956 4.937051 5.069129 5.120938 3.983837 4.101255 4.183014 4.34812 4.467203 4.522952 4.595728 4.649443 3.683449 3.770682 3.822592 3.833907 4.003574 4.018245 4.03415 4.168895"
2014-06-10T12:34:10Z	5000000	16	3.4328194375000014	true	3.200	3.665	ms	"3.092264 3.11012 3.182765 3.261155 3.43779 3.65477 3.681325 3.824883 2.779767 2.989859 3.228884 3.308796 3.364706 3.378917 3.396878 3.415151 3.527477 3.545264 3.552955 3.556617 3.669852 3.683851 3.70757 3.765631 3.316019 3.447331 3.487204 3.518677 3.528417 3.55793 3.720389 3.854058 3.098903 3.099647 3.181115 3.213342 3.366912 3.552476 3.558623 3.662877 2.868614 3.261272 3.290264 3.49184 3.562107 3.638201 3.681504 3.700364"
