date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	4.618152583333334	true	4.124	5.113	ms	"3.894987 4.101955 4.112988 4.369293 4.584435 4.64613 4.985476 5.558881 4.127713 4.176954 4.368668 4.684807 4.982637 5.049641 5.22202 5.68566 4.035495 4.161445 4.418487 4.812849 4.884088 5.102711 5.951227 5.959117 3.694911 4.02193 4.448111 4.491525 4.590905 4.709778 4.936122 5.248803 3.932909 4.098754 4.156727 4.389839 4.426921 4.828112 4.891549 5.069477 3.860856 4.147125 4.303157 4.445777 4.683966 4.694885 4.702557 5.018964"
2014-06-10T12:34:10Z	1000000	8	4.2880205625	true	3.794	4.782	ms	"3.666296 3.766639 3.82223 3.863003 3.891615 3.93263 3.961517 4.088659 3.847897 4.06525 4.100474 4.112657 4.173749 4.354142 4.383577 4.594646 3.874081 3.913681 3.984116 4.980089 5.019145 5.049108 5.929158 6.231399 3.964237 4.126556 4.171154 4.232152 4.296938 4.434043 4.549599 4.690164 3.661496 3.85589 3.966152 4.077531 4.321203 4.698534 4.769724 5.037023 3.667796 3.960518 4.064557 4.100575 4.239789 4.249771 4.518734 4.565093"
2014-06-10T12:34:10Z	1000000	2	8.652312375	true	7.858	9.447	ms	"7.279432 8.218337 8.302421 8.367481 8.543848 8.74328 9.164807 9.374494 7.302488 7.328003 7.458628 7.649908 7.696194 7.861573 7.905197 8.410897 7.451725 7.652756 8.502765 8.552742 8.710684 9.119593 9.523279 10.150085 7.234444 8.202377 8.563549 8.854869 9.572764 9.647001 9.895456 10.557996 7.63487 8.196279 8.534155 8.539737 9.129252 9.283695 9.291748 9.496397 8.174233 8.454233 8.763591 9.437435 9.572467 9.637435 9.639417 9.726977"
2014-06-10T12:34:10Z	1000000	1	12.380013270833336	true	11.989	12.771	ms	"11.529951 11.643584 12.008304 12.16359 12.195577 12.291077 12.558536 12.734674 11.92777 12.289237 12.358195 12.411674 12.491592 12.708464 13.031431 13.263192 11.71352 11.945896 12.318033 12.367345 12.505417 12.543898 12.624842 13.356096 11.99487 12.144495 12.158489 12.2178 12.218478 12.225062 12.405215 12.585434 11.660856 12.056866 12.465307 12.575843 12.590236 12.737808 13.267875 13.448484 11.986605 12.20807 12.255714 12.324436 12.359303 12.407722 12.475729 12.488045"
2014-06-10T12:34:10Z	1000000	32	4.25156825	true	3.861	4.642	ms	"3.437993 3.87969 3.984064 4.312799 4.481796 4.503378 4.539341 4.706607 3.707061 3.707062 3.968885 4.03485 4.333855 4.551512 4.571712 4.57257 3.367288 3.776876 4.049273 4.322439 4.374258 4.607056 4.889527 4.919677 3.674892 3.775359 4.028582 4.08216 4.558682 4.645363 4.856434 4.869189 3.602835 3.953079 4.088904 4.128713 4.228896 4.290395 4.392394 4.539484 3.699486 3.915471 4.118691 4.19715 4.306485 4.583892 4.953343 4.985828"
2014-06-10T12:34:10Z	1000000	4	5.439380000000001	true	5.012	5.867	ms	"5.188879 5.354403 5.458818 5.488772 5.585876 5.733343 5.788755 5.810208 4.889967 5.056086 5.155349 5.200901 5.380271 5.444772 5.466537 5.50042 4.99999 5.007095 5.0786 5.08255 5.090173 5.182679 5.240142 5.270695 4.841667 4.970981 5.052572 5.197292 5.383092 5.540597 5.740913 5.779529 5.054459 5.18354 5.186369 5.214737 5.54419 5.715213 5.779137 5.894553 4.977091 5.266448 5.317911 5.739243 6.265459 6.288559 6.36733 7.334077"
2014-06-10T12:34:10Z	1000000	16	4.149017312500001	true	3.743	4.555	ms	"3.331229 3.362497 3.492827 3.846867 4.195436 4.3504 4.376525 4.717633 3.423603 3.752336 3.790105 3.817948 4.312298 4.460189 4.546672 4.724761 3.304974 3.672117 4.069475 4.077021 4.184636 4.227819 4.380916 4.490994 3.837455 4.115863 4.197909 4.287611 4.400181 4.572328 4.841412 5.013426 3.486926 3.868659 4.198661 4.201856 4.296124 4.450635 4.535222 4.896825 3.62086 3.736332 3.838815 4.07502 4.149541 4.350339 4.58238 4.689173"
2014-06-10T12:34:10Z	3000000	64	11.965373208333338	true	10.658	13.273	ms	"8.932113 10.388342 11.113664 11.146203 12.145841 12.55982 12.649987 13.166148 10.658121 11.057179 11.529354 11.986963 12.468193 13.059277 13.428727 13.947848 9.545348 12.120283 12.253069 12.387931 12.814574 12.929546 12.941532 13.428765 10.216037 10.233799 11.938383 12.141986 12.867725 13.104379 13.256341 13.354282 9.123889 9.290255 9.585589 11.56668 12.793896 13.783291 14.14379 14.323826 9.418764 11.33669 11.407453 11.962102 12.169696 12.325957 12.387227 12.947049"
2014-06-10T12:34:10Z	3000000	8	13.136371750000002	true	11.725	14.547	ms	"11.425845 11.830705 12.077751 12.123081 12.488407 12.663865 12.802217 13.582317 11.247357 11.259632 11.663679 12.078444 12.732876 12.843649 13.534416 13.613394 11.893163 12.055866 12.188897 12.276004 13.375377 13.792348 14.004832 14.150845 11.347478 11.491389 11.875754 12.061639 12.393215 12.454807 12.514701 13.765687 13.799656 14.050019 14.74516 15.238839 15.59488 16.470181 17.462584 17.679934 11.809987 12.559368 12.640943 12.946748 13.368915 13.695269 13.861608 15.012116"
2014-06-10T12:34:10Z	3000000	2	27.479108479166666	true	24.172	30.786	ms	"22.530509 23.649536 23.94063 24.065605 25.131394 25.136306 25.483876 28.327352 22.786132 23.368802 23.745844 23.93946 24.027882 24.253964 24.36585 24.62816 23.59185 24.594691 25.077239 27.518698 28.878447 29.082939 30.355636 30.767255 23.080613 24.082672 25.218193 27.416328 28.396009 28.546525 28.997414 29.112949 27.394963 28.391775 28.612393 29.831989 29.838077 29.953181 30.330885 32.861417 28.515925 28.847399 29.080242 31.889084 32.09233 34.761904 36.030549 36.466334"
