date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	300000	64	1.767229025	true	1.298	2.237	ms	"1.135322 1.311136 1.32621 1.66077 1.662037 1.662592 2.414171 2.677166 1.160661 1.230439 1.36616 1.855317 1.894741 2.135455 2.710627 2.784593 1.264953 1.402714 1.516583 1.545242 1.569073 1.919136 2.153375 2.555845 1.364743 1.442197 1.540001 1.616852 1.710513 1.725019 2.152248 2.38217 1.330466 1.388971 1.551143 1.567595 1.644114 1.754621 2.1859 2.41829"
2014-06-10T12:34:10Z	300000	8	2.1547898749999996	true	1.548	2.761	ms	"1.239589 1.396761 1.540714 1.553942 1.556418 1.780739 1.968343 2.159183 2.213621 2.215563 2.280705 2.356695 2.382308 2.56714 2.679281 3.338249 1.534694 1.78906 1.935854 1.99242 2.17188 2.200292 2.976412 3.479173 1.665089 2.003645 2.060965 2.372828 2.377656 2.456427 2.610452 3.884068 1.430737 1.435677 1.488878 1.704727 1.942991 2.003406 2.710855 2.734158"
2014-06-10T12:34:10Z	300000	2	6.2685329250000015	true	4.564	7.973	ms	"6.345025 6.352126 6.455803 6.710039 6.854492 7.049439 7.098288 10.993653 3.69037 4.104021 4.211302 4.213504 4.472953 5.098022 6.933578 8.630299 5.227603 5.548018 5.697186 6.050321 6.752176 6.752476 6.866349 10.915507 5.052601 5.118099 5.160737 5.205533 5.215777 5.234412 7.62792 8.899794 5.550352 5.610344 5.659042 5.692836 5.767928 5.810517 6.511491 9.601384"
2014-06-10T12:34:10Z	300000	1	7.261748625000003	true	6.457	8.066	ms	"6.437755 6.536904 6.538649 6.549574 6.550955 6.559892 6.60642 6.688322 8.330658 8.373361 8.398462 8.399085 8.44216 8.53443 8.746773 9.572973 6.858656 7.51938 7.554814 7.567641 7.581215 7.593862 7.680189 7.860637 6.628464 6.643218 6.644211 6.657325 6.699005 6.776172 6.939985 6.950838 6.804845 6.831171 6.838551 6.839278 6.86595 6.872227 6.953457 7.042481"
2014-06-10T12:34:10Z	300000	32	1.28263825	true	0.677	1.888	ms	"0.753942 0.759495 0.855638 0.949455 0.977898 1.134708 1.967735 2.20266 1.148761 1.183865 1.209312 1.366141 1.38312 1.468722 2.40731 2.528781 0.57645 0.677167 0.769476 0.906907 1.084552 1.103029 1.927338 2.167995 0.766885 0.800949 0.951651 0.977306 1.14794 1.311646 2.057753 2.196534 0.616324 0.636205 0.713818 0.795805 0.99947 1.207966 2.011523 2.603298"
2014-06-10T12:34:10Z	300000	4	3.0605129999999994	true	1.563	4.558	ms	"2.047395 2.067057 2.172954 2.350412 2.513425 2.600665 4.642355 6.702021 1.821466 2.015942 2.069395 2.088939 2.276 2.312405 3.841514 6.989148 1.781058 1.816871 1.835755 1.914458 2.495704 2.797281 3.394665 4.670407 2.884257 2.98412 3.028725 3.361826 3.63864 3.782316 4.085309 5.566664 1.798424 1.822959 1.926597 2.292289 2.395645 2.592026 3.630334 7.413097"
2014-06-10T12:34:10Z	300000	16	1.3651086500000003	true	0.770	1.960	ms	"0.881309 1.03061 1.078442 1.13252 1.133337 1.401153 2.064839 3.037301 0.810537 0.927147 0.946637 1.007709 1.064683 1.189924 1.544376 2.367808 0.848378 0.863553 0.964605 1.017248 1.101254 1.224608 2.372957 2.787239 1.019469 1.141798 1.174663 1.233612 1.277846 1.613086 1.938267 2.549572 0.813804 0.891233 0.938172 0.991769 1.020845 1.49683 1.781844 1.923362"
2014-06-10T12:34:10Z	900000	64	7.731832300000001	true	4.679	10.785	ms	"9.438986 9.784915 10.297616 10.320444 10.35176 10.354247 10.539576 10.612958 9.686207 9.990048 10.163671 10.224142 10.263933 10.32643 10.373525 10.489661 5.792048 5.917602 5.927109 5.9959 6.005191 6.162873 6.216133 6.275746 8.694923 9.158374 9.278877 9.56119 9.590828 9.681794 9.757763 10.076354 2.211944 2.478581 2.643215 2.687254 2.748457 2.765564 3.063754 3.363699"
2014-06-10T12:34:10Z	900000	8	13.437246150000002	true	12.450	14.425	ms	"12.724482 12.918656 13.189095 13.203818 13.481543 13.498265 13.924304 14.389046 13.640047 13.986326 14.24115 14.446974 14.747242 14.829459 14.895049 15.762458 11.735041 12.087322 12.743968 13.340053 13.656155 13.849229 13.93873 14.408144 12.044117 13.119295 13.361446 13.489099 13.630677 13.713614 14.295183 14.421119 11.095218 12.054892 12.19033 12.50397 12.920512 12.949331 12.979505 13.084982"
2014-06-10T12:34:10Z	900000	2	48.137289575	true	45.963	50.311	ms	"44.065128 49.696209 50.392243 50.395269 50.601864 50.603227 51.195745 51.936587 43.613546 48.001628 48.057872 48.156007 48.173776 48.204953 48.26949 48.277967 43.027819 46.316683 48.345353 48.365249 48.522697 48.529007 48.689606 50.015616 43.071754 48.3921 48.49638 48.524755 48.576591 48.605085 48.608668 49.193835 42.795863 48.02345 48.076434 48.102812 48.163455 48.227533 48.239399 48.939928"
