date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	3000000	64	4.321634633333333	true	2.026	6.617	ms	"2.194607 2.447829 4.862614 5.327046 6.894141 2.24861 3.402052 3.586386 5.010173 6.391881 1.904769 2.85037 2.882104 4.99122 6.316241 2.790284 3.093476 4.064658 5.200093 5.223302 2.062852 2.788737 4.853112 5.147019 6.99379 1.723927 2.019535 5.452264 8.447759 8.478188"
2014-06-10T12:34:10Z	3000000	8	2.1820196	true	1.809	2.555	ms	"1.757464 1.845314 1.970248 2.405566 2.948922 1.990053 2.007351 2.044439 2.050677 2.091363 2.002516 2.010957 2.011038 2.047775 2.070952 1.921839 1.951622 2.008946 2.425719 2.742538 2.039242 2.072554 2.106078 2.137902 2.240383 1.921676 2.408259 2.575007 2.775142 2.879046"
2014-06-10T12:34:10Z	3000000	2	3.5646770333333335	true	3.073	4.056	ms	"4.023653 4.35764 4.385542 4.447391 4.625492 3.32929 3.392656 3.495485 3.562226 3.615798 3.183853 3.285778 3.441136 3.48967 3.849394 3.114619 3.237263 3.247697 3.400107 3.486729 3.078685 3.123829 3.488302 3.579078 3.579195 3.183817 3.227699 3.382215 3.611745 3.714327"
2014-06-10T12:34:10Z	3000000	1	4.812592633333333	true	4.760	4.866	ms	"4.811603 4.819443 4.839139 4.862521 4.882371 4.786195 4.790963 4.791833 4.820598 4.827005 4.735541 4.736441 4.739281 4.745953 4.747279 4.837639 4.839587 4.839737 4.841042 4.843358 4.840703 4.843524 4.865196 4.869856 4.883458 4.758631 4.767675 4.780138 4.815138 4.815931"
2014-06-10T12:34:10Z	3000000	32	3.1246462666666672	true	1.808	4.441	ms	"1.873318 2.060273 3.3719 3.879044 4.179674 2.148184 2.298975 3.291365 3.89962 4.797857 1.892377 2.082265 2.915415 3.438027 3.975675 1.600532 1.600936 4.236888 4.880425 5.568061 1.801004 2.354938 2.905753 3.158653 4.029097 1.831364 1.966188 3.633601 4.024538 4.043441"
2014-06-10T12:34:10Z	3000000	4	2.1407790000000007	true	1.504	2.777	ms	"2.884381 3.098776 3.176232 3.443023 3.5109 1.879126 1.898498 2.247557 2.361826 2.585006 1.719726 1.840469 1.889773 1.919823 2.003592 1.657745 1.715019 1.722994 1.854643 1.963017 1.620023 1.790492 1.840492 1.842854 2.099483 1.832804 1.880431 1.927567 1.937572 2.079526"
2014-06-10T12:34:10Z	3000000	16	2.1936887333333335	true	1.565	2.823	ms	"1.981265 2.151212 2.174839 2.913645 3.500552 1.57749 1.71578 1.746608 1.792436 1.815906 1.968029 2.006064 2.15099 3.083544 3.197062 1.781193 1.920436 1.944214 2.978306 3.311157 1.799605 1.888931 1.906407 2.250686 2.505224 1.800754 1.870346 1.928413 2.035261 2.114307"
2014-06-10T12:34:10Z	9000000	64	5.396781933333332	true	4.889	5.904	ms	"5.1879 5.262533 5.442941 5.870844 5.927691 5.141549 5.649218 5.97813 6.092388 6.185031 5.012763 5.14629 5.34092 5.624114 5.7849 5.017113 5.109536 5.510397 5.879595 5.931976 4.7998 4.870324 4.871355 4.912511 4.966987 4.805328 5.191673 5.226996 5.244941 5.917714"
2014-06-10T12:34:10Z	9000000	8	6.063446566666667	true	5.467	6.660	ms	"6.031067 6.083362 6.126555 6.141212 6.144008 5.832554 5.844665 6.089753 6.178405 6.196441 5.524129 5.676504 6.304427 6.906972 7.186138 5.500108 5.627626 5.660373 5.69 5.941202 6.056891 6.056901 6.240817 7.247226 7.308231 5.506405 5.511011 5.515979 5.865775 5.90866"
2014-06-10T12:34:10Z	9000000	2	10.227840633333331	true	9.129	11.327	ms	"10.797949 10.889508 11.264734 11.931384 12.38148 9.969118 10.471587 10.904054 11.584032 11.766727 9.297326 9.47722 9.801717 10.373852 10.632617 9.249013 9.358052 9.602639 9.697841 10.155064 8.77325 9.602313 9.618396 9.731395 10.583288 8.933246 9.108619 9.687051 10.505249 10.686498"
