date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	60000	64	4.737508966666668	true	1.119	8.356	ms	"2.804297 3.362804 3.720316 6.351283 11.013455 2.440719 2.534767 4.028632 5.661164 11.772136 2.0153 2.016575 2.962726 4.880235 10.856435 2.105041 2.56981 3.311498 5.436579 8.600205 4.308418 4.32592 4.404606 7.566622 11.204737 2.225508 2.304233 2.350034 2.472116 2.519098"
2014-06-10T12:34:10Z	60000	8	2.106494933333333	true	1.568	2.645	ms	"1.463889 1.562971 1.57219 1.769648 1.939179 1.614037 1.970186 2.153617 2.831812 2.930381 2.275312 2.304939 2.45459 2.491238 2.542774 1.510159 1.529238 1.744276 1.918302 1.945589 2.366626 2.561847 2.580591 2.873945 2.896472 1.783559 1.785488 1.879211 1.915719 2.027063"
2014-06-10T12:34:10Z	60000	2	3.6783158	true	3.398	3.958	ms	"3.331101 3.336684 3.589233 3.610639 3.964618 3.378021 3.486609 3.536937 3.597221 3.713991 3.722344 3.772583 3.773383 3.775606 3.843896 3.416822 3.72586 3.843469 4.029976 4.144061 3.358792 3.699329 3.86114 3.989828 4.0593 3.340327 3.406389 3.543568 3.586009 3.911738"
2014-06-10T12:34:10Z	60000	1	7.8235939000000005	true	6.537	9.110	ms	"6.327837 8.354674 8.82277 8.966501 9.13425 6.28588 8.36954 8.652078 8.726965 8.878826 5.493594 7.830363 7.833586 7.890912 9.170443 5.720134 8.130589 8.204144 8.40792 8.45567 5.82424 7.488627 7.766759 7.857787 8.061049 5.682676 7.654205 7.856093 7.96923 8.890475"
2014-06-10T12:34:10Z	60000	32	6.092550533333333	true	2.912	9.273	ms	"1.522124 1.677543 1.859427 4.657551 5.0481 7.578542 7.818609 8.206235 8.29946 9.017629 5.890131 6.41117 7.229181 8.547312 9.731907 6.288832 6.831661 7.228229 8.362877 10.50798 4.341293 4.951847 5.276184 8.1617 10.156546 1.879412 2.175203 2.379627 3.809546 6.930658"
2014-06-10T12:34:10Z	60000	4	3.5541358999999995	true	2.343	4.766	ms	"2.061028 2.224191 2.253334 2.263916 2.375917 3.498509 3.862362 4.009028 4.995029 5.927403 3.511857 3.515494 3.882275 4.85113 5.977618 3.561765 3.895876 3.901524 4.324149 4.388402 3.317437 3.407574 3.522937 3.86576 3.900431 2.355427 2.504529 2.50833 2.944442 3.016403"
2014-06-10T12:34:10Z	60000	16	4.2886660999999995	true	2.366	6.211	ms	"1.697256 1.718922 1.97311 2.061733 2.333364 5.092351 5.107926 5.527156 5.614675 6.389652 4.589751 4.88565 5.296503 5.421412 6.496769 4.87505 4.983367 5.196253 5.351126 5.693223 4.329114 4.502302 4.755398 5.870457 6.096605 1.548047 1.724247 1.78746 3.061899 4.679205"
2014-06-10T12:34:10Z	180000	64	14.255220499999998	true	5.500	23.011	ms	"5.784581 5.788602 6.358555 6.838817 7.065558 8.327576 9.042576 11.168389 17.479419 25.973461 14.901464 16.24706 16.751457 18.63354 19.12554 22.211497 22.516343 24.313506 27.007477 27.73071 15.163954 16.833767 17.664853 18.241492 18.602063 4.547893 5.266079 5.837744 5.96254 6.270102"
2014-06-10T12:34:10Z	180000	8	6.168537366666667	true	3.548	8.789	ms	"4.000103 4.017684 4.072563 4.124965 4.192014 3.678368 3.727601 3.753315 4.399426 4.578188 7.488835 7.72957 7.986392 8.382894 9.113078 7.787338 8.04918 8.2341 9.156983 9.272006 7.269806 7.662359 8.650558 8.813674 8.873408 3.72323 3.93121 4.115308 4.120228 4.151737"
2014-06-10T12:34:10Z	180000	2	10.202314600000001	true	8.385	12.019	ms	"9.174328 9.264858 9.347723 9.448264 9.72442 9.245619 9.419475 9.531055 9.751561 10.108507 8.96574 9.181193 9.290852 9.663487 9.697582 13.064376 13.3135 13.418914 13.780776 13.924663 9.189132 9.544985 9.819193 9.936211 10.128275 9.049146 9.421702 9.632502 9.710931 10.320468"
