date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	60000	64	5.438263466666666	true	1.771	9.106	ms	"2.899422 3.152585 3.379089 5.475803 6.057574 1.793825 1.937117 2.058113 2.119652 2.316986 4.624919 4.701538 5.291631 6.193505 6.258293 6.704101 7.21369 7.59645 9.677611 14.021417 3.812499 4.733674 5.508068 8.577651 12.358699 1.927909 1.967398 4.923471 6.46792 9.397294"
2014-06-10T12:34:10Z	60000	8	2.5608185999999997	true	1.824	3.298	ms	"2.040755 2.118767 2.446324 2.957689 3.157368 2.290101 2.40163 2.485755 2.798139 3.130881 1.830405 1.857237 1.883881 2.957263 3.861963 2.833003 2.839525 3.065965 3.31698 3.542967 1.689497 1.879909 2.203545 2.793447 3.417785 1.662076 1.711892 1.943668 2.452063 3.254078"
2014-06-10T12:34:10Z	60000	2	3.920272033333333	true	3.447	4.393	ms	"3.358479 3.987999 3.99578 4.119706 4.548021 3.82055 3.949998 3.959293 4.403391 4.607647 3.587544 3.62614 3.641633 4.401345 4.636672 3.338426 3.736329 3.820026 3.94298 4.495752 3.244537 3.657933 3.732298 3.872596 3.898395 3.421152 3.545255 3.717018 3.954853 4.586413"
2014-06-10T12:34:10Z	60000	1	8.008212866666666	true	6.910	9.106	ms	"5.951458 7.619816 7.625594 8.276828 8.542889 6.358101 8.201789 8.896914 8.97236 9.142355 6.485258 7.821017 8.233906 8.284586 8.939202 6.134874 7.90342 8.237149 8.253484 8.425031 6.761345 8.691251 8.97929 9.026333 9.110003 6.684154 7.929444 7.968554 8.339039 8.450942"
2014-06-10T12:34:10Z	60000	32	6.202582333333334	true	2.440	9.965	ms	"1.854073 1.880645 3.256097 4.318501 7.80015 1.758088 1.920343 3.92247 4.390191 7.628481 7.313591 8.427326 9.245962 9.306767 12.372083 7.329463 10.259033 10.545049 11.001098 12.06784 2.03038 3.381032 4.236417 4.964145 7.748279 5.2414 5.288975 5.394989 5.537692 5.65691"
2014-06-10T12:34:10Z	60000	4	3.5342255000000007	true	2.122	4.947	ms	"2.309594 2.372108 2.402491 2.411199 2.482608 2.235835 2.394424 2.409401 2.462864 2.501369 4.015615 4.170194 4.202055 4.685217 5.295362 4.857599 4.964603 5.258851 5.291884 5.796614 2.034987 2.347576 2.563831 2.578214 3.323191 3.552451 3.983001 4.143562 4.256477 4.723588"
2014-06-10T12:34:10Z	60000	16	4.460150866666667	true	1.958	6.962	ms	"1.936949 1.958783 2.420832 3.186683 4.284713 1.975752 2.046886 2.166726 3.570365 4.061249 4.190073 4.755551 5.157507 5.48131 6.020887 6.100593 7.165625 8.456781 9.044369 9.448435 2.195936 2.222787 2.259543 4.039793 4.591448 4.340626 4.853401 4.984057 5.355093 5.531773"
2014-06-10T12:34:10Z	180000	64	13.4507352	true	3.553	23.349	ms	"5.412702 5.668363 5.903205 5.941122 6.204315 3.399713 3.445674 3.773684 4.692996 5.09392 16.930268 17.568017 17.683257 17.686746 18.010821 24.382384 27.387498 28.150202 28.569715 29.722912 6.151884 6.226796 6.90249 12.786541 14.571952 14.850884 15.309053 15.856494 16.978859 18.259589"
2014-06-10T12:34:10Z	180000	8	6.692398066666666	true	3.897	9.488	ms	"4.073456 4.38886 4.628253 4.877281 5.053808 3.997084 4.058278 4.668552 4.745698 5.094547 7.094614 7.119348 7.722645 8.149197 8.221864 8.111469 10.617692 11.050049 11.23789 11.664685 4.104688 4.691641 4.821907 5.153367 5.296247 7.461404 7.9893 8.119237 8.228443 8.330438"
2014-06-10T12:34:10Z	180000	2	12.733275700000002	true	8.940	16.526	ms	"9.272462 9.307466 9.452235 9.849179 9.986281 9.29247 9.308064 9.615581 9.629226 10.157097 15.227576 15.610899 16.680911 16.756213 16.840081 15.319431 16.02372 16.060728 16.383286 16.505627 9.385825 9.421676 9.649429 9.945552 10.048419 14.381759 14.807917 15.429959 15.762198 15.887004"
