date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	25000	64	21.660659450000004	true	0.555	42.767	ms	"1.396389 17.562595 42.239203 43.67106 44.099256 44.76443 44.919759 45.808499 46.115342 48.673024 1.821766 1.869354 2.467968 2.551637 2.80023 2.957147 2.979436 3.053136 3.630726 3.931374 0.968317 1.693712 1.92943 1.964835 2.45883 3.165897 3.975073 4.618926 5.334139 9.098437 21.942492 38.905092 40.754567 42.823962 44.095191 44.748064 45.01791 45.473369 47.150199 52.995605"
2014-06-10T12:34:10Z	25000	8	1.082247825	true	0.844	1.321	ms	"0.615215 0.671109 0.735503 0.784466 0.873422 0.937048 1.052282 1.057397 1.104973 1.300953 0.719265 0.875906 1.078528 1.078532 1.163605 1.239595 1.312817 1.39813 1.456623 1.507791 0.880716 0.933537 1.01124 1.034436 1.065899 1.07625 1.081816 1.144424 1.169794 1.318552 0.703804 0.884822 1.028595 1.122445 1.122691 1.164268 1.339254 1.37882 1.421295 1.444095"
2014-06-10T12:34:10Z	25000	2	2.0086629249999994	true	1.681	2.336	ms	"1.523114 1.694643 1.749188 1.875335 1.903486 2.064351 2.153082 2.214948 2.459921 2.536142 1.667381 1.67844 1.731636 1.743453 2.001518 2.080476 2.121313 2.391693 2.596774 2.767678 1.71434 1.778763 1.937307 1.940207 1.960711 1.960812 2.014704 2.024097 2.064391 2.483761 1.480634 1.562381 1.629875 1.730526 1.963591 1.968035 1.983842 2.287337 2.446384 2.460247"
2014-06-10T12:34:10Z	25000	1	2.84508455	true	2.790	2.900	ms	"2.798168 2.824768 2.83994 2.845815 2.863356 2.867493 2.8694 2.869681 2.885088 2.969794 2.839783 2.847871 2.860418 2.862346 2.862892 2.865586 2.869238 2.869439 2.874091 2.900612 2.861471 2.867975 2.869939 2.875267 2.891769 2.893683 2.895038 2.896252 2.909427 2.911261 2.752804 2.761598 2.762957 2.763566 2.764071 2.766883 2.766883 2.767717 2.769212 2.76983"
2014-06-10T12:34:10Z	25000	32	0.7570459	true	0.627	0.887	ms	"0.490651 0.515985 0.571207 0.626575 0.664374 0.716203 0.720238 0.843733 0.844451 0.90473 0.567931 0.63766 0.647311 0.676884 0.680866 0.740616 0.781129 0.808942 0.823833 0.829795 0.566126 0.640805 0.696731 0.702149 0.730187 0.735959 0.796388 0.908298 0.949996 0.990207 0.679123 0.797627 0.800536 0.829581 0.838628 0.865397 0.870599 0.921375 0.921941 0.947069"
2014-06-10T12:34:10Z	25000	4	1.465196775	true	0.931	2.000	ms	"0.858633 0.923616 1.10305 1.287261 1.338363 1.518002 1.523331 1.695107 2.375223 3.070862 0.908392 0.919237 1.003067 1.051415 1.43444 1.597334 1.673279 1.778235 1.926782 3.088488 0.979438 1.107019 1.149238 1.303289 1.40889 1.432191 1.448611 1.752547 1.827623 2.078794 0.823415 0.949373 0.973545 1.23298 1.259162 1.276763 1.359266 1.690822 1.728078 1.75271"
2014-06-10T12:34:10Z	25000	16	0.8085536	true	0.691	0.926	ms	"0.661644 0.716436 0.717184 0.749631 0.76243 0.767997 0.871848 0.878258 0.882483 0.891864 0.611414 0.704109 0.750623 0.754911 0.767301 0.767454 0.840673 0.84671 0.932056 1.002096 0.590935 0.707335 0.790913 0.791588 0.809384 0.81621 0.825872 0.8281 0.891014 0.957416 0.651502 0.67284 0.677062 0.809412 0.826583 0.850342 0.888347 0.947094 0.948285 1.184788"
2014-06-10T12:34:10Z	75000	64	1.6164518750000003	true	1.365	1.868	ms	"1.303601 1.344089 1.387173 1.452864 1.48312 1.483187 1.49803 1.520419 1.540059 1.638413 1.466218 1.513724 1.514569 1.56455 1.59541 1.633174 1.644024 1.651253 1.710268 1.863417 1.377808 1.495345 1.531689 1.632689 1.883133 1.988413 2.019152 2.024784 2.034698 2.090454 1.152661 1.278501 1.304332 1.402415 1.448444 1.62371 1.766754 1.775745 1.862292 2.157494"
2014-06-10T12:34:10Z	75000	8	2.5935730500000007	true	1.955	3.232	ms	"2.023298 2.300237 2.314741 2.317228 2.73633 3.23534 3.311294 3.431195 3.442273 3.651484 1.743435 1.945988 1.976311 2.154636 2.30604 2.662176 2.885703 3.365336 3.545287 3.705557 1.641223 1.856797 1.944835 2.05766 2.200408 2.412605 2.5856 3.220102 3.235207 3.30149 1.706167 1.8392 2.127716 2.164165 2.192937 2.351489 2.627635 2.769174 3.057342 3.397281"
2014-06-10T12:34:10Z	75000	2	5.971945	true	4.552	7.392	ms	"4.822183 4.902325 4.905316 4.988735 5.192558 5.227272 5.316036 5.357772 5.45243 5.690495 5.080659 5.082174 5.154477 5.260954 5.294251 5.333203 5.683235 5.696726 6.164274 7.550859 4.920515 5.090063 5.204344 5.976633 6.598803 7.487608 7.837381 9.576905 9.964634 9.987737 4.931049 5.156242 5.418719 5.498353 5.575399 5.608378 5.659033 5.672055 6.245744 8.312271"
2014-06-10T12:34:10Z	75000	1	9.559978925	true	9.098	10.022	ms	"9.448861 9.450271 9.450847 9.452777 9.4554 9.463931 9.472162 9.604348 9.685808 10.693273 9.623044 9.625815 9.627574 9.628705 9.632748 9.69952 9.728114 9.92245 10.217287 10.292629 7.53795 8.475834 9.605076 9.611001 9.611182 9.612077 9.620708 9.621868 9.624024 9.759073 9.373058 9.474097 9.483014 9.489575 9.490093 9.491792 9.493047 9.50615 9.633459 9.710515"
2014-06-10T12:34:10Z	75000	32	1.4002230249999998	true	1.002	1.798	ms	"0.715206 0.772472 0.79341 0.805249 0.813655 1.000014 1.025012 1.508978 1.529223 1.53381 0.83854 1.115191 1.130708 1.176879 1.294301 1.335975 1.364419 1.530571 1.85587 1.992759 1.092957 1.218717 1.221249 1.383645 1.401164 1.525067 1.644202 1.857093 2.009046 2.198528 1.273125 1.439552 1.4456 1.541148 1.548255 1.641318 1.643029 1.767703 1.978648 2.046633"
