date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	150000	64	1.786487575	true	1.520	2.053	ms	"1.422019 1.672468 1.69277 1.750391 1.781056 1.849047 1.989929 2.115046 2.25245 2.347743 1.41271 1.457199 1.511311 1.741193 1.787055 1.818661 1.842245 1.842457 1.875057 1.924765 1.303701 1.441888 1.450257 1.608168 1.617549 1.637393 1.649735 1.751268 1.893782 2.093583 1.502131 1.58967 1.646583 1.746144 1.822022 1.99962 2.041866 2.082671 2.173757 2.322143"
2014-06-10T12:34:10Z	150000	8	2.169599775000001	true	1.289	3.050	ms	"1.336489 1.59926 1.614068 1.834235 2.03068 2.267822 2.288456 2.853852 3.439738 3.636061 1.269444 1.390204 1.801379 1.830742 2.088649 2.425951 2.585917 2.640436 3.058171 4.746563 1.367416 1.437713 1.512749 1.763574 1.886056 2.06563 2.123512 2.236974 2.237822 4.018266 0.877337 0.8999 1.235601 1.328394 1.590331 1.815212 2.40055 2.532002 3.293859 3.422976"
2014-06-10T12:34:10Z	150000	2	5.386938850000001	true	0.232	10.542	ms	"2.167396 2.205394 2.22079 2.241912 2.516566 2.86902 3.427402 3.571362 4.433492 9.15498 2.872558 2.936104 2.967255 3.230419 3.299965 3.327988 3.710739 4.680148 4.765797 4.882841 2.929344 2.995315 3.085083 3.375996 13.493816 13.710468 14.717605 17.392251 18.259623 21.291809 2.077361 2.092749 2.133462 2.160975 2.327505 2.448338 3.571281 3.685985 4.587614 7.658846"
2014-06-10T12:34:10Z	150000	1	10.285130174999999	true	7.016	13.554	ms	"11.719087 11.751119 11.836776 11.867035 11.949461 12.037245 12.404952 12.735073 12.793795 14.440016 10.409917 10.421022 10.504917 10.505613 10.645999 10.755435 10.975834 11.554643 11.681414 14.000991 4.386011 4.395641 4.42117 4.450538 4.50957 4.848099 4.933046 5.226956 5.376002 9.826994 11.740452 11.760476 11.845168 11.954394 12.00752 12.084769 12.294009 12.805988 12.920981 14.627079"
2014-06-10T12:34:10Z	150000	32	1.5547230749999996	true	0.919	2.190	ms	"1.263863 1.375295 1.452807 1.456622 1.605432 1.972692 2.419263 2.594683 2.729277 2.954759 1.203098 1.27218 1.325266 1.367702 1.385707 2.039351 2.185076 2.296913 2.699384 2.721929 0.69265 0.700939 0.738461 0.74713 0.786065 0.806055 1.198074 1.314601 1.450293 1.939724 0.84157 1.01672 1.191872 1.274781 1.376145 1.400957 1.485068 1.572022 1.585296 1.749201"
2014-06-10T12:34:10Z	150000	4	3.3137985500000005	true	1.432	5.195	ms	"1.793977 1.967339 2.697111 2.723688 3.372644 3.580807 3.628037 4.442926 5.24441 8.186008 1.638247 1.681753 2.040411 2.654269 2.984162 3.42054 3.458048 4.736346 5.996784 7.97168 1.003105 1.069311 1.135265 1.187585 1.280978 1.516402 1.568435 2.963015 5.2745 6.078247 1.971438 2.237689 2.673744 2.812605 3.095272 3.448425 3.572953 3.649926 5.248289 6.545571"
2014-06-10T12:34:10Z	150000	16	1.8653869	true	1.232	2.499	ms	"1.25492 1.398127 1.444418 1.671902 1.861788 2.076434 2.270366 2.812499 2.917064 2.945629 0.999239 1.146457 1.194421 1.363262 1.576348 1.865174 2.132027 2.774612 2.781587 2.861476 1.027692 1.180173 1.267709 1.37265 1.586627 1.890183 2.015917 2.076006 2.456489 3.061833 1.16953 1.215654 1.262456 1.564022 1.572674 1.75441 1.801755 1.97374 2.461368 2.556838"
2014-06-10T12:34:10Z	450000	64	4.722917524999999	true	3.519	5.927	ms	"5.024704 5.351522 5.483288 5.499462 5.503427 5.615246 5.921382 5.928751 6.087636 6.129941 5.486714 5.602482 5.704893 5.745993 5.867571 5.936143 5.979518 6.042039 6.159272 6.448632 2.071514 2.804524 3.474887 3.63773 3.689255 3.752842 3.782744 3.829152 4.098819 4.475527 2.418458 3.180061 3.634097 3.665502 3.91203 3.985126 4.124326 4.130349 4.261213 4.469929"
2014-06-10T12:34:10Z	450000	8	10.088892949999996	true	8.196	11.981	ms	"6.662321 10.865879 10.868572 10.929758 10.955666 11.100446 11.141915 11.581638 11.689436 12.207175 4.899655 7.175264 7.757134 8.901341 9.55666 10.034895 10.03704 10.267008 10.414095 11.365039 6.344982 8.925365 9.00652 9.172375 9.36226 10.061841 10.67706 11.110622 12.306942 13.005269 6.171786 9.779593 9.840124 10.201826 10.696557 10.93584 10.941455 12.111323 12.237765 12.255276"
2014-06-10T12:34:10Z	450000	2	46.871728250000004	true	29.312	64.431	ms	"48.690793 55.245566 65.492356 65.734758 65.986418 66.739897 66.787364 66.855991 67.432094 67.697453 26.851616 29.358814 29.406439 29.468883 29.501543 29.582162 30.089662 30.959387 31.406104 33.422175 39.941174 55.249542 65.236912 65.324187 65.422098 65.445433 65.542231 65.567308 66.241843 68.135271 26.290311 29.35319 29.359782 30.507561 30.589207 31.128512 31.62302 33.314503 36.704385 37.183185"
2014-06-10T12:34:10Z	450000	1	56.56426604999999	true	10.944	102.185	ms	"34.762858 43.388364 44.970274 45.009027 45.029556 45.035609 45.048089 45.087442 45.091215 59.05281 16.962666 18.109662 18.137201 18.155046 18.15978 18.166406 18.230938 18.269706 18.286217 19.090935 103.538028 107.852659 134.956576 135.003829 135.114166 135.255742 136.396934 136.733699 136.764614 139.20456 31.310364 31.858062 31.858466 31.903332 31.905512 31.951285 31.99573 31.99602 32.052649 40.874614"
2014-06-10T12:34:10Z	450000	32	4.42525575	true	3.041	5.809	ms	"4.463753 5.44515 5.474527 5.51194 5.729215 5.733871 5.76669 5.802009 5.831387 6.56415 3.848686 4.525697 4.715346 4.860461 4.995743 5.091734 5.101058 5.140035 5.341552 5.376649 1.763642 2.01357 2.026884 2.148778 2.222367 2.290405 2.366859 2.44798 2.50248 2.951468 4.41702 4.538665 4.593574 4.718566 4.84186 4.981571 5.127058 5.193857 5.240819 5.303154"
2014-06-10T12:34:10Z	450000	4	20.2523582	true	17.378	23.126	ms	"19.429343 20.10141 21.039004 21.159639 22.267096 23.373113 23.517719 25.360029 25.595152 26.034298 16.635382 16.811808 17.050125 17.332065 17.709806 17.721249 18.442177 20.450198 21.378195 22.121045 13.048337 16.797326 17.72494 18.224312 20.211098 20.256654 20.523936 21.48857 22.111353 22.80038 17.106229 17.138814 18.003108 19.74802 20.992808 21.617667 21.69928 22.108714 22.269039 22.69489"
2014-06-10T12:34:10Z	450000	16	4.365535074999999	true	1.810	6.921	ms	"1.408414 1.592006 1.680104 1.695412 1.719946 1.753462 1.886123 2.046525 2.109782 2.16055 5.246338 6.073141 6.233118 6.339554 6.535149 6.549193 6.696985 6.834149 7.598193 8.08639 5.695101 5.997039 6.368081 6.411409 6.871573 7.018886 7.194092 7.532188 7.748237 8.200582 1.496202 1.719133 1.965623 2.052062 2.177993 2.210165 2.225552 2.27471 2.315765 2.902476"
2014-06-10T12:34:10Z	750000	64	5.24633035	true	3.584	6.909	ms	"2.618032 2.874947 2.947875 3.052011 3.0657 3.118563 3.18759 3.348083 3.45718 3.946941 5.578711 5.700105 5.729645 5.730778 5.803962 5.903658 5.908396 6.394737 6.404015 7.079784 6.700424 6.82435 6.885952 6.890123 6.90866 6.912702 6.969125 6.990901 7.578543 9.572689 4.277708 4.428008 4.445179 4.524037 4.571074 4.588393 4.609777 4.694047 4.715323 4.915486"
2014-06-10T12:34:10Z	750000	8	7.321498700000002	true	5.039	9.604	ms	"4.91578 5.241947 5.830375 6.351 6.589083 7.097332 7.46933 7.592486 7.866788 8.744421 8.816572 9.782941 10.005672 10.410811 10.490018 10.590954 10.908403 10.970164 11.514608 13.113717 4.540401 4.678878 4.697154 4.737504 4.929449 5.726087 5.899487 5.996957 6.042501 6.134633 5.308821 5.572981 6.139157 6.313906 6.385725 6.679241 6.773571 7.004771 7.137509 7.858813"
2014-06-10T12:34:10Z	750000	2	55.08305344999999	true	34.273	75.893	ms	"52.06635 62.76192 62.794827 62.867602 62.869517 62.927497 63.372578 63.939104 64.77742 65.081217 73.371983 80.750918 85.363898 85.450435 85.538072 85.998035 86.050804 86.301544 86.430359 87.060823 29.322602 34.697313 34.698592 35.039175 35.521796 35.61196 36.937766 36.971773 37.053982 40.307003 31.752586 34.260803 34.626982 36.808208 38.268942 40.242945 40.511929 41.19057 41.642894 42.079414"
