date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	150000	64	2.119634975	true	1.490	2.749	ms	"1.523257 1.576859 1.746246 1.750276 1.765006 1.791134 1.871807 2.111583 2.114037 2.496116 2.206322 2.47956 2.550335 2.663072 2.723536 2.939515 2.944079 2.98128 3.676079 3.852901 1.462027 1.584981 1.612281 1.614318 1.688743 1.697167 1.845898 1.882202 1.91072 1.945633 1.298096 1.370232 1.543812 1.621895 1.821605 1.948273 2.107417 2.352013 2.744861 2.970225"
2014-06-10T12:34:10Z	150000	8	1.8520854	true	1.111	2.593	ms	"1.448786 1.505004 1.512372 1.612384 1.891256 1.952311 2.040623 2.061968 2.332315 2.475268 0.935761 1.161896 1.404545 1.442248 1.547529 1.836416 2.010407 2.252745 3.077189 3.263728 1.381222 1.436578 1.648287 1.787566 2.219758 2.384684 3.070689 3.344483 3.345292 3.441121 0.890194 1.065075 1.065651 1.081789 1.143531 1.196206 1.301214 1.322527 1.362924 1.829874"
2014-06-10T12:34:10Z	150000	2	4.38422455	true	1.729	7.040	ms	"2.822532 2.872595 2.917859 2.949215 2.96024 3.310188 3.311282 3.401075 5.212442 6.442479 2.704121 2.808762 2.978264 3.86882 8.974554 9.517965 9.75053 10.153847 11.093329 11.335601 2.817577 2.846149 2.940514 2.943021 3.020671 3.076426 3.910672 4.016856 4.29741 4.634814 2.177519 2.743545 2.750594 2.806898 2.844261 2.84635 2.993447 3.702221 3.738588 4.875749"
2014-06-10T12:34:10Z	150000	1	15.007097849999997	true	7.733	22.281	ms	"25.829951 25.936298 26.115822 26.237041 26.673294 26.833112 27.21438 27.837477 28.819168 29.054076 11.060531 11.079572 11.117854 11.217026 11.250428 11.275196 11.494416 11.902219 12.024748 13.452421 10.875217 10.990101 10.993387 11.037901 11.16023 11.166792 11.367917 11.75864 11.761356 12.39507 8.352048 9.781232 9.833908 9.89791 9.94534 10.036113 10.135549 10.290383 10.946889 11.132901"
2014-06-10T12:34:10Z	150000	32	1.7964282500000004	true	1.202	2.391	ms	"0.990951 1.18009 1.246029 1.400616 1.442625 1.446073 1.500374 1.508317 1.538607 1.645958 1.477914 1.485085 1.570741 1.639574 2.066234 2.072387 2.317165 2.492803 3.071814 3.162613 1.175862 1.303879 1.312201 1.331606 1.608551 2.303673 2.376804 2.501512 2.558424 2.924934 1.111531 1.262519 1.26994 1.393258 1.431461 1.76048 1.89167 2.040952 2.474655 2.567248"
2014-06-10T12:34:10Z	150000	4	2.5201276250000006	true	1.068	3.972	ms	"1.518352 1.685865 1.927078 1.960275 1.993782 2.00091 2.834375 2.855636 3.001297 3.722621 1.931227 2.043631 2.087506 2.209844 2.23372 2.313796 2.50855 2.755048 3.014805 3.382431 1.900419 2.189799 2.657172 2.696316 2.824725 3.928231 4.24033 4.972038 6.170404 8.027547 0.969455 1.034193 1.042786 1.075544 1.087569 1.102858 1.158668 1.260072 2.175323 2.310907"
2014-06-10T12:34:10Z	150000	16	1.4420493000000003	true	0.990	1.894	ms	"0.773404 0.891455 0.903967 1.012692 1.324152 1.434742 1.555842 1.830356 2.005105 2.783053 0.885609 0.941377 0.996877 1.058997 1.077836 1.206754 1.369361 1.400039 1.454332 1.486198 1.148631 1.265092 1.268905 1.37716 1.447718 1.648302 1.684057 1.796364 2.077027 2.268986 0.977703 1.215036 1.269759 1.33657 1.398494 1.52638 1.563932 1.665847 1.984322 2.369539"
2014-06-10T12:34:10Z	450000	64	3.5017763999999993	true	2.182	4.822	ms	"4.929964 5.379676 5.440005 5.459567 5.506438 5.613969 5.686561 5.875397 5.919911 5.968206 2.318358 2.764231 2.874026 3.216485 3.221006 3.44662 3.48984 3.497708 3.507073 3.513183 2.242663 2.532263 2.615949 2.686099 2.747573 2.765557 2.845968 2.914452 2.927081 3.637738 1.920107 2.010041 2.133493 2.272824 2.409956 2.492831 2.597998 2.767522 2.813327 3.10939"
2014-06-10T12:34:10Z	450000	8	10.471395000000001	true	8.587	12.356	ms	"3.99113 10.029615 10.171513 10.473855 10.598761 10.954301 11.137324 11.254046 11.965555 12.608397 7.342235 10.969859 11.440763 11.465467 11.739387 11.793715 12.032911 12.541673 12.724512 12.96409 5.84859 8.302699 9.264347 9.815623 9.897853 10.085229 10.279895 10.517707 11.283991 11.414148 7.193556 9.278084 9.495492 10.192025 10.745145 10.786215 11.173987 11.211189 11.801349 12.069567"
2014-06-10T12:34:10Z	450000	2	43.788917275	true	29.064	58.514	ms	"25.760417 28.55699 28.625893 28.631751 28.84989 28.930413 29.254973 29.326161 34.60511 37.617181 46.168653 51.11471 56.011336 56.336127 60.048217 60.402737 60.410539 60.85815 61.285243 61.695871 23.668219 26.76542 27.795917 27.8733 28.099436 28.730702 30.995341 36.188896 36.897314 38.923039 46.614844 52.010534 53.543024 56.301579 56.846722 60.030253 60.038085 60.63113 62.319213 62.793361"
