date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	0.859068104166667	true	0.713	1.005	ms	"0.550965 0.883728 0.883961 0.907395 0.910751 0.920273 0.937503 0.998844 0.472782 0.915731 0.925061 0.926825 0.929806 0.938568 0.939424 0.959687 0.473216 0.576859 0.908904 0.916627 0.938272 0.940543 0.967351 1.149313 0.605515 0.921668 0.92276 0.929826 0.935284 0.936202 0.967789 0.973801 0.459476 0.889176 0.893191 0.897718 0.90063 0.909854 0.923034 0.930392 0.426606 0.822697 0.824113 0.837003 0.851196 0.855034 0.861142 0.888773"
2014-06-10T12:34:10Z	1000000	8	0.35322702083333324	true	0.322	0.384	ms	"0.263582 0.288733 0.290779 0.312444 0.313116 0.320385 0.333702 0.336757 0.345186 0.346951 0.353555 0.372617 0.372994 0.391516 0.39353 0.407423 0.318331 0.335042 0.346386 0.34871 0.371419 0.376553 0.376779 0.38604 0.290323 0.328469 0.329013 0.329425 0.34324 0.345718 0.353649 0.402042 0.37139 0.373318 0.375838 0.381745 0.385066 0.386717 0.386985 0.387652 0.330643 0.336219 0.354825 0.35498 0.359503 0.360755 0.384271 0.400581"
2014-06-10T12:34:10Z	1000000	2	0.6056018125	true	0.458	0.753	ms	"0.462664 0.475284 0.481949 0.48224 0.483795 0.48942 0.489842 0.492887 0.47439 0.480663 0.484102 0.531951 0.678411 0.729468 0.789637 0.837123 0.443836 0.452775 0.539342 0.672472 0.699689 0.723364 0.801662 1.036067 0.462441 0.462646 0.586095 0.593866 0.616176 0.630292 0.877774 0.89719 0.46331 0.516003 0.696218 0.708052 0.743103 0.852019 0.85295 0.925582 0.481587 0.490822 0.49267 0.493473 0.496665 0.498021 0.499322 0.499577"
2014-06-10T12:34:10Z	1000000	1	0.7796572916666665	true	0.770	0.789	ms	"0.771718 0.773307 0.773574 0.773833 0.774444 0.774461 0.775013 0.775056 0.769053 0.769114 0.770019 0.771619 0.771953 0.773434 0.773735 0.775063 0.776463 0.777212 0.777504 0.77808 0.779701 0.78069 0.78078 0.781724 0.77917 0.779656 0.780853 0.781529 0.781777 0.781924 0.782302 0.782306 0.796111 0.79655 0.799394 0.800213 0.800582 0.803591 0.804088 0.806891 0.770219 0.770255 0.770804 0.771056 0.771339 0.771435 0.771695 0.77226"
2014-06-10T12:34:10Z	1000000	32	0.7106985625000002	true	0.480	0.942	ms	"0.42806 0.471044 0.592749 0.811368 0.813677 0.865781 0.887166 1.270742 0.452437 0.620362 0.78037 0.782652 0.791969 0.802493 0.805992 1.269759 0.374011 0.411822 0.682732 0.793852 0.806444 0.852293 0.897326 1.035295 0.46087 0.507289 0.794591 0.794922 0.799169 0.799354 0.834565 1.470505 0.556601 0.702778 0.781755 0.783488 0.810158 0.813706 0.815866 0.824804 0.380056 0.403154 0.403325 0.406083 0.407816 0.41755 0.42175 0.42298"
2014-06-10T12:34:10Z	1000000	4	0.4209085833333335	true	0.374	0.468	ms	"0.357857 0.373706 0.400573 0.40137 0.468824 0.490149 0.496911 0.500731 0.372463 0.39549 0.402604 0.417125 0.427279 0.431794 0.487903 0.489414 0.365211 0.371536 0.392643 0.408529 0.425614 0.428199 0.438104 0.455375 0.305787 0.320208 0.350347 0.390374 0.391608 0.455535 0.494099 0.496304 0.394176 0.403885 0.415936 0.434058 0.436495 0.4509 0.46331 0.487134 0.321071 0.389503 0.39542 0.405994 0.415028 0.419785 0.48106 0.486191"
2014-06-10T12:34:10Z	1000000	16	0.6725282708333332	true	0.261	1.084	ms	"0.350856 0.384421 0.435179 0.453942 0.759475 0.843645 1.243131 1.902131 0.362123 0.374737 0.38444 0.387003 0.388021 0.389695 0.390318 0.416309 0.389766 0.415426 0.559821 0.641404 0.803267 0.971489 1.592127 1.691641 0.372202 0.377488 0.398303 0.404759 0.905085 0.945633 1.319712 2.242564 0.433948 0.436861 0.577566 0.602261 0.654733 0.729537 0.862046 1.070674 0.400563 0.409827 0.41952 0.424852 0.425186 0.431647 0.452073 0.45395"
2014-06-10T12:34:10Z	3000000	64	0.9363594583333334	true	0.470	1.402	ms	"0.643403 0.682271 0.746998 0.750787 0.761138 0.778835 0.804893 0.821662 0.632761 0.724199 0.725527 0.75553 0.785018 0.791573 0.833642 1.004363 0.624018 0.680592 0.734523 0.795416 0.849795 1.007079 1.060788 1.097737 0.65008 0.723169 0.732309 0.736749 0.762122 0.826072 0.847553 0.93931 0.630895 0.700029 0.76034 2.304348 2.320412 2.3574 2.359692 2.422164 0.636917 0.660007 0.73172 0.743087 0.745819 0.749163 0.752045 0.761304"
2014-06-10T12:34:10Z	3000000	8	0.6343212291666668	true	0.583	0.686	ms	"0.505028 0.536732 0.595769 0.599198 0.634786 0.63944 0.644936 0.666016 0.632265 0.641935 0.644754 0.649337 0.651367 0.659947 0.660175 0.660246 0.585479 0.597023 0.631617 0.667109 0.675308 0.676516 0.721974 0.767001 0.557904 0.572505 0.579903 0.614889 0.621196 0.621202 0.635856 0.643568 0.651637 0.655502 0.675327 0.688633 0.698729 0.700873 0.70575 0.784377 0.556822 0.57546 0.578174 0.579414 0.586627 0.595589 0.609105 0.614419"
2014-06-10T12:34:10Z	3000000	2	1.8010889374999997	true	1.369	2.233	ms	"1.260074 1.293499 1.3043 1.923348 2.238146 2.277176 2.34779 2.520398 1.251618 1.253089 1.257848 1.276072 1.918825 1.94488 1.957374 2.345389 1.811563 2.096991 2.230351 2.341331 2.429017 2.435348 2.498242 2.53317 1.293778 1.302172 1.347601 1.70047 1.966537 2.039704 2.050497 2.373731 1.259358 1.263393 1.263761 1.264271 1.264473 1.266135 1.267382 1.279229 1.598703 1.621383 1.890012 1.896514 1.914631 2.005062 2.278132 2.299501"
