date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	600000	64	3.897351562500001	true	3.539	4.256	ms	"3.390001 3.633261 3.794738 3.801597 3.849371 4.035176 4.300069 4.556305 3.40269 3.622416 3.676238 3.783797 3.811317 3.83644 3.894183 4.49448 3.214905 3.369238 3.54234 3.633111 3.762194 3.821656 4.00536 4.585503 3.678487 3.733078 3.769834 3.809811 3.868593 3.999532 4.057505 4.42996 3.703477 3.802669 3.924145 3.928912 3.930521 4.012806 4.145683 4.502748 3.180813 3.502358 3.63606 3.852516 3.998925 4.018394 4.606038 5.163624"
2014-06-10T12:34:10Z	600000	8	5.807738375	true	4.082	7.534	ms	"4.40352 4.581458 5.94867 6.186702 6.425733 6.866138 7.32851 8.574193 3.892683 4.068176 4.754927 4.78249 5.146528 5.377018 5.516071 7.958162 4.875496 4.964732 5.132724 5.483018 5.927145 6.74623 6.971692 8.281152 3.371576 4.015555 4.277254 4.661975 5.132083 5.621781 5.912872 8.987768 3.503361 3.978747 4.231818 4.784716 4.83871 5.032508 5.952664 7.536734 3.98296 4.307608 5.120958 5.241935 6.974328 8.322441 9.931934 12.855988"
2014-06-10T12:34:10Z	600000	2	30.8488233125	true	8.909	52.788	ms	"10.84349 11.149559 24.958629 28.096384 47.622953 58.88483 62.259786 72.335895 8.973951 9.955711 10.565746 12.618616 19.789949 22.519588 22.648384 29.263939 9.980025 11.543503 11.981459 12.012735 12.471161 12.771346 14.551211 19.722459 10.063697 11.980465 14.666607 31.259486 36.592624 58.952404 59.702184 65.116236 10.373439 10.58295 11.05407 12.036676 24.486493 36.008852 71.32511 75.022768 10.463154 11.822016 22.778044 63.131112 65.406574 66.123617 68.840125 75.433507"
2014-06-10T12:34:10Z	600000	1	18.04457814583333	true	16.353	19.736	ms	"17.893223 18.032752 18.221343 19.010091 19.42661 20.102952 20.166677 20.401411 16.07853 16.275088 16.6057 16.616098 16.707409 16.862395 16.911304 17.328124 15.878119 17.003282 18.043259 19.108013 19.630684 19.855628 20.126897 22.983571 15.723586 15.878299 15.959218 16.027427 16.193154 16.211165 16.286481 16.379486 16.250996 16.251117 16.568933 16.99604 17.214355 17.627406 17.757399 18.101418 19.541909 19.711408 19.985215 20.194456 20.291578 20.350385 20.435261 20.933899"
2014-06-10T12:34:10Z	600000	32	3.2949164791666665	true	2.733	3.857	ms	"3.016175 3.017131 3.161534 3.169443 3.330045 3.395033 3.573341 4.420068 2.751665 2.804705 2.972693 3.019322 3.229903 3.281987 3.770368 4.555293 2.869142 2.989982 3.211621 3.334344 3.357115 3.388431 3.597726 4.500619 2.535298 2.799598 2.824014 2.92393 2.987626 3.360136 3.398183 4.798047 2.457591 2.657672 2.7161 2.72849 2.871962 3.38584 3.657714 4.932868 2.770479 2.867569 3.00074 3.005549 3.138945 3.142526 3.813039 4.664389"
2014-06-10T12:34:10Z	600000	4	11.380034375000001	true	6.129	16.631	ms	"5.341388 9.414752 12.699849 13.723151 16.091533 16.934917 22.30408 30.806221 5.174066 6.13045 8.400564 9.211772 12.416143 12.901896 13.555285 17.808005 5.55874 5.739867 6.833164 7.186488 8.046154 8.570604 8.834968 12.408198 5.475907 9.297336 10.893715 12.872289 13.054073 19.67198 21.226451 25.922468 7.121065 7.80889 8.505183 10.311237 10.488966 12.208702 12.315544 17.938546 5.558063 6.036017 7.556126 7.793921 7.870621 8.010805 8.958577 13.252913"
2014-06-10T12:34:10Z	600000	16	3.7140113541666664	true	2.998	4.430	ms	"3.308308 3.395024 3.560088 3.727655 3.799577 4.107741 4.246685 5.32546 2.748693 2.806268 3.126342 3.347714 3.410721 3.689012 4.188474 5.216931 2.664048 2.861959 2.956295 3.332604 3.604821 3.917938 4.001851 5.983594 3.063795 3.152132 3.221104 3.262149 3.695721 4.030524 4.373177 5.599317 2.923731 2.991397 3.200645 3.432084 3.462949 3.776943 4.220832 5.351353 3.16493 3.306685 3.346318 3.430533 3.464433 3.609592 4.160766 4.703632"
2014-06-10T12:34:10Z	1800000	64	11.409195604166667	true	10.227	12.591	ms	"10.325049 10.478905 10.72155 10.772378 10.959122 11.019506 11.12382 11.867076 10.740564 10.964452 10.97447 11.168619 11.252106 11.391342 11.771705 12.086472 10.448613 10.624835 10.691213 10.80223 10.832694 10.845293 11.386416 11.716259 11.651052 11.772365 11.988763 12.216717 12.513577 12.534297 12.562265 12.737516 12.119054 12.696215 12.874203 12.907872 13.516323 13.579289 14.087967 14.623502 8.75887 8.841733 9.296523 9.496308 9.837681 10.189978 10.232982 11.641648"
2014-06-10T12:34:10Z	1800000	8	27.06773116666666	true	23.874	30.262	ms	"21.944992 23.706004 23.720813 23.93541 24.705647 24.942277 25.923812 25.928415 21.149509 25.892048 27.739676 28.167952 28.416479 29.064319 34.796057 36.955982 21.683197 22.042981 23.489862 25.45509 26.110509 27.498707 27.875549 32.415812 23.043912 24.814749 28.02586 28.169494 28.441611 28.876668 29.367695 34.16784 22.865849 24.586218 25.083367 26.285326 26.658999 30.518683 30.544449 30.600502 24.542734 26.686559 27.332432 27.6967 28.852469 29.271845 29.312853 29.943183"
2014-06-10T12:34:10Z	1800000	2	111.13757110416668	true	51.426	170.849	ms	"76.194263 80.946484 82.505299 82.757352 84.860879 86.866265 87.976061 88.230293 80.101938 82.61347 82.912903 84.238159 86.446159 86.921439 92.196309 95.509333 59.687043 64.102918 67.13384 67.367497 72.52279 73.500603 76.25171 81.354607 174.334189 193.279826 195.800058 200.453057 237.627532 242.541717 250.239056 258.260512 71.273784 71.708749 78.640698 84.12252 160.654556 212.828926 216.483104 252.179768 40.051696 64.433407 65.458709 65.627322 66.416341 68.377742 69.687472 70.925058"
2014-06-10T12:34:10Z	1800000	1	114.78738606249999	true	83.120	146.454	ms	"144.004215 149.03118 152.309349 152.937303 153.107464 153.331297 153.553765 159.644566 136.915042 140.846799 140.960541 141.206476 141.562713 141.591936 141.848839 142.825453 68.869611 68.938098 68.95335 68.972263 68.981815 69.026231 69.058 69.307501 120.169818 120.418299 120.624626 120.774779 120.989101 121.025593 121.273102 121.778136 133.161777 134.829327 135.966464 136.411242 136.772833 137.054551 137.222592 138.314054 69.135793 69.260354 69.31122 69.352116 69.454726 69.49411 69.525369 69.690742"
2014-06-10T12:34:10Z	1800000	32	10.972270374999999	true	9.959	11.986	ms	"9.85292 10.84971 11.270346 12.653511 13.108498 13.194394 13.718118 14.011783 9.835412 10.410246 10.479694 10.60911 10.789737 11.264298 11.264832 11.32606 9.125957 9.93346 10.094181 10.301903 10.612596 11.234796 11.68774 11.950711 10.619883 10.701957 11.327603 11.515824 11.518786 11.59921 12.015875 12.180811 9.855367 10.135248 10.147298 10.250112 10.72916 10.905847 10.927302 11.010656 9.305257 9.358731 9.734638 10.130852 10.449291 10.539869 10.890147 11.239241"
2014-06-10T12:34:10Z	1800000	4	48.90441902083334	true	36.726	61.082	ms	"46.420653 49.433532 52.036159 52.345525 52.364561 60.544864 61.061793 61.20611 35.925742 39.194801 43.219201 43.793906 45.570809 45.91625 46.411213 47.584062 14.160285 20.008023 20.59537 39.04378 45.662995 54.572128 63.086622 99.577555 35.242393 37.662267 40.584506 42.948439 49.994304 53.317234 58.021897 64.892373 46.931446 51.79646 53.34146 54.495293 56.919547 57.491144 58.133034 59.532919 40.341023 42.107894 46.20315 46.717898 49.013731 49.630382 54.005551 58.351829"
