date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	2.316749583333333	true	1.475	3.159	ms	"1.708878 1.746345 1.820156 1.99391 2.021385 2.161139 2.25564 2.511437 1.576443 1.970146 2.20553 2.772025 2.946267 3.702702 3.889361 5.467626 1.589663 1.668501 1.732015 1.819485 1.825078 1.852124 2.002434 2.081825 1.734423 2.104257 2.5264 2.619182 2.878794 3.783991 4.358926 5.118079 1.548906 1.789134 1.948744 2.002775 2.087173 2.497032 2.531708 2.62565 1.55662 1.569899 1.691907 1.70803 1.755943 1.779527 1.792056 1.874709"
2014-06-10T12:34:10Z	1000000	8	1.9686345625000004	true	1.658	2.280	ms	"1.63689 1.701702 1.714204 1.758346 1.760769 1.761398 1.786489 1.815994 1.5188 1.617929 1.632401 1.819144 1.872922 2.130882 2.163345 2.26591 1.975374 2.165227 2.428501 2.435032 2.566775 2.655908 2.810317 2.991582 1.609368 1.655458 1.710644 1.74971 1.854058 1.860786 1.89562 1.944212 1.667056 1.759348 1.794312 1.80616 1.928064 1.952182 1.993921 2.188108 1.539354 1.906214 2.028062 2.034982 2.037013 2.042492 2.054792 2.496702"
2014-06-10T12:34:10Z	1000000	2	9.9186034375	true	0.822	19.015	ms	"2.901573 3.198987 3.828249 7.020265 7.123163 10.851762 11.790252 15.640585 2.831424 3.436401 3.612912 6.198845 14.732805 15.618659 16.784473 21.123041 4.856202 5.331693 13.103367 21.148928 27.203968 34.055128 35.027574 44.277536 2.639503 2.73782 2.770966 2.791258 2.96709 3.018961 3.076988 3.338716 3.073564 3.990792 4.131712 7.881139 8.016203 10.59277 18.151209 24.968201 2.620344 2.781973 3.226174 4.489768 6.260336 6.454446 6.887389 7.527851"
2014-06-10T12:34:10Z	1000000	1	5.6897791875	true	4.563	6.817	ms	"4.772481 4.802806 4.813807 4.901191 4.946423 4.971565 5.137137 5.492922 4.860293 4.922368 5.167158 5.21107 5.323677 5.439483 5.534326 5.543091 8.108817 8.16569 8.218171 8.238105 8.247769 8.316469 8.324828 8.513839 4.722907 4.787261 4.860081 4.884998 4.902772 4.926213 5.040618 5.0757 5.028508 5.134657 5.165323 5.181068 5.228415 5.265492 5.274831 5.577598 4.8665 5.046047 5.311658 5.386187 5.666492 5.670777 5.676682 6.45513"
2014-06-10T12:34:10Z	1000000	32	1.7040727916666667	true	1.480	1.928	ms	"1.258839 1.352169 1.362872 1.38705 1.418961 1.436614 1.541491 1.627537 1.298484 1.301773 1.368505 1.585691 1.649506 1.715451 1.840423 1.859038 1.557888 1.568986 1.658832 1.735479 1.783447 1.865821 1.86986 1.936116 1.437349 1.717066 1.738597 1.757629 1.771307 1.829641 1.915673 1.948892 1.499499 1.596148 1.625179 1.785732 1.798718 1.823062 1.910299 2.06395 1.682665 1.68728 1.881828 1.882291 1.895646 1.996365 2.239336 2.330509"
2014-06-10T12:34:10Z	1000000	4	3.674489416666667	true	1.920	5.429	ms	"2.029589 2.225952 2.358638 2.497042 2.50239 2.634152 2.785213 3.064958 2.312127 2.46857 2.517214 2.595879 2.681912 2.750847 2.807471 2.876431 2.3701 2.399848 2.512344 3.939097 5.913242 6.407304 7.938261 10.510396 1.86543 2.611892 2.70822 3.933118 4.367958 4.720642 6.723283 7.422208 1.73905 2.621538 3.183756 4.054354 4.529287 4.812445 5.790808 7.566757 2.203316 2.493401 2.503891 2.938567 3.226904 3.332072 3.734388 4.19323"
2014-06-10T12:34:10Z	1000000	16	1.6187894374999996	true	1.449	1.789	ms	"1.287988 1.414669 1.513662 1.544175 1.760333 1.844422 2.080705 2.330535 1.482586 1.529686 1.536101 1.538318 1.552699 1.574326 1.593549 1.633138 1.466728 1.513768 1.52351 1.554901 1.572094 1.654357 1.680882 1.689611 1.39315 1.425997 1.466439 1.501117 1.545401 1.593521 1.659006 1.698457 1.492359 1.519148 1.596393 1.78661 1.809673 1.851679 1.875475 1.91101 1.457517 1.522239 1.522747 1.590402 1.618486 1.637003 1.663533 1.691788"
2014-06-10T12:34:10Z	3000000	64	4.393255999999999	true	3.740	5.047	ms	"3.209985 3.248236 3.481507 3.905726 3.92549 4.037936 4.454992 4.799348 4.072893 4.232263 4.263332 4.276753 4.42667 4.491994 4.697605 4.850214 3.513943 3.686758 4.015202 4.04482 4.199926 4.451339 4.477013 4.96 3.548437 3.940543 4.315968 4.459412 4.624592 4.851652 5.639655 6.536612 4.084725 4.462683 4.673542 4.869396 5.225182 5.437398 5.791126 6.280922 3.683721 3.78511 3.970352 4.078076 4.102777 4.176677 4.229358 4.384427"
2014-06-10T12:34:10Z	3000000	8	5.399318375	true	4.317	6.481	ms	"4.200876 4.581139 4.64517 4.668278 4.80114 5.030006 5.101833 5.186766 3.942499 4.497335 4.62752 4.938614 4.981647 5.151716 5.259769 6.33461 5.55762 6.462593 6.598214 6.628924 7.953086 8.005534 8.008914 8.02866 4.050533 4.278468 4.621157 4.684218 4.773715 4.781793 4.936986 6.060376 4.484635 4.643982 4.654535 4.656871 4.937703 4.9475 5.109485 5.288353 4.495214 4.506628 4.747755 5.472281 5.918011 6.440024 7.378028 8.106568"
2014-06-10T12:34:10Z	3000000	2	17.22836825	true	3.034	31.422	ms	"8.464362 8.643552 8.85596 11.104789 27.827054 45.896939 50.877654 69.907688 8.176626 8.558859 9.373985 10.073772 10.983494 11.018098 11.645232 13.09264 12.89214 13.965967 14.088558 14.245987 14.291953 14.827175 14.923257 15.790686 8.377464 8.411389 8.489312 9.335494 44.570672 45.987952 48.818453 57.896102 9.040206 9.050252 9.452405 9.623232 11.316618 11.420083 11.861498 12.09532 8.618494 8.929465 9.270338 10.182671 10.258217 10.811291 11.150472 12.467849"
