date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	0.8468034999999997	true	0.680	1.014	ms	"0.423293 0.893214 0.894875 0.89982 0.913566 0.914931 0.935015 0.948911 0.418002 0.903005 0.912493 0.91457 0.943392 0.95919 1.009769 1.042577 0.442589 0.801142 0.808493 0.808821 0.821192 0.840055 0.844087 0.849341 0.572226 0.838655 0.841797 0.856826 0.858304 0.932497 0.938811 0.979505 0.407946 0.42486 0.926731 0.944343 0.966629 0.974134 0.97502 1.014889 0.426041 0.877169 0.887153 0.927399 0.933077 0.969504 0.973039 1.05767"
2014-06-10T12:34:10Z	1000000	8	0.3652773541666668	true	0.330	0.401	ms	"0.345615 0.359701 0.360286 0.372139 0.391245 0.397557 0.419804 0.426828 0.324431 0.336713 0.379011 0.380404 0.389243 0.407377 0.411119 0.484162 0.33444 0.355123 0.355955 0.370809 0.377018 0.379282 0.39161 0.398632 0.306222 0.310815 0.318523 0.321668 0.339975 0.354477 0.355396 0.395323 0.312703 0.321223 0.322933 0.323897 0.325113 0.326656 0.330509 0.34919 0.343514 0.357309 0.372631 0.37508 0.389522 0.389716 0.395087 0.447327"
2014-06-10T12:34:10Z	1000000	2	0.5527660208333333	true	0.430	0.676	ms	"0.481113 0.483247 0.491588 0.493801 0.500107 0.504208 0.510837 0.52731 0.460767 0.463361 0.465564 0.466329 0.471393 0.473195 0.479015 0.479472 0.487295 0.503446 0.505674 0.507725 0.50805 0.511341 0.517075 0.521394 0.466634 0.472695 0.477186 0.477389 0.507597 0.544822 0.548696 0.59532 0.453981 0.461463 0.473375 0.475433 0.648671 0.762283 0.795998 0.860268 0.472036 0.505059 0.551988 0.712652 0.790691 0.798303 0.869491 0.997431"
2014-06-10T12:34:10Z	1000000	1	0.7760604791666667	true	0.770	0.782	ms	"0.776805 0.777098 0.777114 0.777304 0.777563 0.77765 0.777792 0.778054 0.778605 0.778858 0.778952 0.779026 0.779281 0.779841 0.7799 0.781741 0.768824 0.768848 0.768878 0.768983 0.769259 0.769464 0.770061 0.770661 0.772123 0.782781 0.782882 0.782927 0.783602 0.784124 0.786334 0.803545 0.771497 0.771606 0.771657 0.771745 0.771872 0.772394 0.772401 0.772921 0.771117 0.771135 0.771591 0.772544 0.774169 0.774208 0.775059 0.776107"
2014-06-10T12:34:10Z	1000000	32	0.7378491666666666	true	0.465	1.011	ms	"0.392956 0.421844 0.45406 0.608251 0.718105 0.814865 0.816233 0.888842 0.401222 0.504631 0.51013 0.561436 0.820148 0.824589 0.858837 0.884523 0.504334 0.531743 0.796915 0.797923 0.84506 0.862963 0.935547 1.643152 0.43579 0.471563 0.530129 0.817101 0.916676 0.937855 1.028946 1.475632 0.31343 0.347993 0.403447 0.442372 0.806453 0.838835 0.861783 0.880708 0.386196 0.55946 0.776159 0.779253 0.792994 0.811429 0.818406 1.585841"
2014-06-10T12:34:10Z	1000000	4	0.4200476458333331	true	0.362	0.478	ms	"0.347754 0.380854 0.389565 0.407504 0.408167 0.426849 0.467401 0.479252 0.39435 0.397519 0.418313 0.4523 0.467669 0.471229 0.504263 0.55034 0.368259 0.400906 0.412309 0.430772 0.431492 0.442222 0.473488 0.492248 0.360811 0.402935 0.408214 0.4538 0.480977 0.485361 0.542988 0.578962 0.323351 0.327285 0.341975 0.366285 0.402082 0.434692 0.480642 0.486431 0.305255 0.330855 0.338423 0.367161 0.369779 0.370288 0.392657 0.396053"
2014-06-10T12:34:10Z	1000000	16	0.5772073750000001	true	0.298	0.856	ms	"0.375723 0.418911 0.425071 0.483588 0.820775 0.820822 0.988738 1.40629 0.354008 0.374497 0.392636 0.417943 0.427007 0.427493 0.431195 0.451192 0.412171 0.417734 0.418779 0.427882 0.442712 0.449571 0.459584 0.461288 0.395313 0.397923 0.433621 0.601977 0.844285 0.902803 1.362416 1.453714 0.347533 0.374442 0.378487 0.3801 0.386731 0.394898 0.402811 0.438199 0.422865 0.424343 0.439757 0.574251 0.737677 0.842251 1.058296 1.205651"
2014-06-10T12:34:10Z	3000000	64	0.7692689374999998	true	0.661	0.877	ms	"0.607616 0.624493 0.659374 0.700184 0.785949 0.848804 0.860624 0.936277 0.635995 0.666236 0.720124 0.731486 0.735024 0.738301 0.757622 0.759464 0.64779 0.652608 0.672838 0.763321 0.774491 0.797539 0.804196 0.865204 0.702429 0.763515 0.766955 0.777872 0.925718 1.033799 1.101345 1.168717 0.702946 0.749771 0.751499 0.775254 0.779037 0.81714 0.864228 0.870909 0.643446 0.68269 0.697775 0.702172 0.702781 0.722086 0.732287 0.744978"
2014-06-10T12:34:10Z	3000000	8	0.6498849166666667	true	0.605	0.694	ms	"0.624489 0.650873 0.65387 0.669544 0.704122 0.718355 0.725181 0.729797 0.626682 0.647894 0.651305 0.655596 0.671294 0.68405 0.687642 0.706929 0.572429 0.587749 0.617932 0.647037 0.655851 0.680961 0.681507 0.733733 0.554925 0.611234 0.61292 0.654834 0.661854 0.669034 0.677497 0.737635 0.569338 0.57372 0.595518 0.606914 0.613807 0.61391 0.62281 0.667852 0.571894 0.597713 0.625634 0.645338 0.646748 0.660558 0.682854 0.735113"
2014-06-10T12:34:10Z	3000000	2	1.832259020833333	true	1.309	2.355	ms	"1.224 1.237474 1.240229 1.255908 1.80973 1.915925 2.017087 2.85102 1.269813 1.736368 1.897978 2.046292 2.274148 2.294317 2.496281 2.808816 1.224371 1.229353 1.233463 1.236866 1.238656 1.242311 1.243235 1.244928 1.240869 1.264412 1.67489 1.915319 1.985603 2.010927 2.705496 2.778914 1.263406 1.402817 1.798578 1.908771 1.939734 2.187602 2.349413 2.597658 1.241248 1.24487 1.835199 2.045351 2.125878 2.422907 2.809823 2.930179"
2014-06-10T12:34:10Z	3000000	1	2.3044680833333335	true	2.285	2.324	ms	"2.31155 2.312128 2.312202 2.312836 2.313375 2.313478 2.313597 2.3144 2.311713 2.312009 2.312251 2.312919 2.318181 2.318997 2.319467 2.32172 2.281878 2.282512 2.283536 2.289504 2.290333 2.290344 2.295551 2.299214 2.296929 2.314844 2.331193 2.334435 2.336495 2.336526 2.339353 2.384442 2.282791 2.282992 2.283487 2.287653 2.287716 2.289456 2.29058 2.294166 2.281229 2.282469 2.283483 2.288044 2.28961 2.290492 2.290504 2.291884"
2014-06-10T12:34:10Z	3000000	32	0.7062028541666665	true	0.663	0.749	ms	"0.650322 0.701033 0.710599 0.71246 0.749865 0.753585 0.767601 0.797645 0.63345 0.662386 0.663545 0.667487 0.670189 0.683106 0.684313 0.731698 0.673501 0.709319 0.711665 0.713418 0.728744 0.732872 0.739922 0.743803 0.647477 0.669981 0.678217 0.712967 0.715965 0.717485 0.719363 0.722755 0.565485 0.6325 0.645831 0.646946 0.68275 0.684672 0.720468 0.722996 0.702289 0.725283 0.745849 0.749624 0.764151 0.766549 0.776993 0.788613"
2014-06-10T12:34:10Z	3000000	4	0.9472781875000001	true	0.785	1.110	ms	"0.720511 0.765775 0.929664 1.064539 1.138193 1.193301 1.322283 1.406004 0.786288 0.913962 0.962805 1.033447 1.085491 1.104277 1.181959 1.372346 0.711824 0.749136 0.762919 0.768652 0.811999 0.87252 0.872899 0.930182 0.763307 0.800653 0.858892 0.865085 0.895875 0.927612 1.010747 1.058382 0.742537 0.866371 0.914214 0.9458 1.011765 1.039168 1.102719 1.2425 0.726104 0.787439 0.805874 0.88409 0.886544 0.894727 0.971885 1.006087"
2014-06-10T12:34:10Z	3000000	16	0.6576294791666665	true	0.625	0.690	ms	"0.632295 0.653432 0.668971 0.677017 0.67967 0.699111 0.716036 0.734065 0.621433 0.621735 0.642597 0.64913 0.659076 0.662566 0.679127 0.684509 0.623179 0.642164 0.643067 0.649508 0.663106 0.666147 0.672893 0.693686 0.557872 0.598604 0.623466 0.645256 0.648291 0.661533 0.67323 0.691269 0.606347 0.614787 0.63513 0.660652 0.672132 0.6845 0.691687 0.703954 0.570449 0.631351 0.653093 0.663596 0.668378 0.67521 0.700328 0.70058"
