date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	60000	64	1.1619357291666665	true	0.987	1.337	ms	"0.988388 0.9919 0.997536 1.006018 1.056732 1.072374 1.095055 1.25311 0.822202 1.005332 1.011471 1.011947 1.082101 1.137141 1.318944 1.326374 1.028568 1.042326 1.078151 1.158035 1.163501 1.164616 1.322 1.347788 0.920001 1.127174 1.183531 1.234262 1.234689 1.266488 1.530124 1.584428 0.896449 0.994316 1.072134 1.126405 1.201069 1.28999 1.373063 1.393195 0.846895 1.006163 1.079096 1.166675 1.243551 1.336714 1.505722 1.679171"
2014-06-10T12:34:10Z	60000	8	1.4006635416666668	true	1.159	1.642	ms	"1.128639 1.153472 1.242702 1.260866 1.297583 1.343491 1.387883 1.915625 0.977511 1.159367 1.39063 1.462159 1.531112 1.548642 1.867688 1.930676 1.042553 1.140747 1.197343 1.226229 1.34712 1.354314 1.391166 1.872112 1.134047 1.204386 1.320584 1.433808 1.491644 1.509745 1.603216 2.042873 1.153175 1.290765 1.339485 1.403958 1.456534 1.46134 1.523957 1.95272 1.089403 1.147993 1.187517 1.258554 1.30649 1.360992 1.618355 1.770679"
2014-06-10T12:34:10Z	60000	2	4.334860291666665	true	2.298	6.372	ms	"2.789806 2.828692 2.85776 2.884878 2.961142 3.241592 4.357265 4.452229 2.793897 2.81469 2.823266 2.837293 2.864672 3.311585 3.658383 4.388259 2.779573 2.794177 2.798556 2.849444 2.99092 2.994179 3.432976 4.422603 2.711956 2.72299 2.728818 2.824315 4.45689 4.614943 7.319438 7.827794 2.802199 2.819451 2.845565 5.157241 5.18474 8.779224 9.013657 9.570337 2.76371 2.964983 5.142608 5.862707 6.039064 8.472921 8.659327 9.860579"
2014-06-10T12:34:10Z	60000	1	5.371457812500001	true	5.322	5.420	ms	"5.334142 5.334719 5.335509 5.338446 5.340194 5.340212 5.342182 5.342223 5.40005 5.402636 5.402772 5.410944 5.411651 5.41253 5.418843 5.419606 5.439749 5.444451 5.445853 5.447194 5.447984 5.44975 5.451733 5.458216 5.3124 5.313143 5.31477 5.320682 5.321292 5.321633 5.324472 5.325426 5.387425 5.393479 5.39724 5.401397 5.4025 5.407901 5.41044 5.417046 5.285955 5.287809 5.312253 5.313281 5.317558 5.31954 5.320083 5.330661"
2014-06-10T12:34:10Z	60000	32	0.9424870416666664	true	0.860	1.025	ms	"0.921188 0.948525 0.979068 1.00514 1.05045 1.07336 1.083867 1.101843 0.799062 0.809415 0.820152 0.82449 0.936294 0.956376 0.9755 0.987389 0.821688 0.878201 0.881957 0.882873 0.904547 0.920385 0.994003 1.012991 0.918414 0.953765 0.965868 0.973265 0.976522 0.981449 1.002266 1.003313 0.731805 0.772518 0.81017 0.880302 0.901058 0.910928 0.949844 0.96915 0.887558 0.934104 0.965452 0.975188 1.009099 1.014475 1.015639 1.168462"
2014-06-10T12:34:10Z	60000	4	2.144010291666667	true	1.665	2.623	ms	"1.471666 1.622071 1.673024 1.816552 2.180885 2.293799 2.467001 2.646497 1.523162 1.529031 1.779149 2.23149 2.418308 2.595497 2.663642 4.145829 1.607616 1.637973 1.762344 2.045564 2.064372 2.072639 2.125124 2.748323 1.7572 1.768297 1.944771 2.210211 2.290497 2.385653 2.677196 2.912722 1.513861 1.840204 2.014079 2.068288 2.071851 2.19573 2.294951 3.058454 1.539071 1.685877 1.963782 2.020334 2.049937 2.15801 2.173286 3.196674"
2014-06-10T12:34:10Z	60000	16	0.9909452499999999	true	0.866	1.116	ms	"0.868694 0.934291 0.936523 0.946405 0.981014 1.003331 1.024137 1.234974 0.844495 0.871963 0.902985 0.956615 0.972814 1.018144 1.154855 1.206909 0.841641 0.969943 0.98761 0.994109 1.003779 1.047985 1.105892 1.317316 0.856475 0.88504 0.904851 0.977481 1.036069 1.075818 1.207585 1.218538 0.82418 0.860604 0.951341 0.979267 1.081792 1.109666 1.124334 1.168563 0.713381 0.736835 0.819682 0.844212 0.87594 1.011703 1.061303 1.114288"
2014-06-10T12:34:10Z	180000	64	1.9823383333333326	true	1.773	2.192	ms	"1.493344 1.706415 1.824544 1.864744 1.882706 2.038936 2.22979 2.587906 1.767716 1.776493 1.830459 2.030723 2.045478 2.22798 2.326549 2.36076 1.684802 1.762242 1.851671 1.983259 2.154632 2.22118 2.241077 2.464334 1.672125 1.729273 1.795499 1.827155 1.862751 1.901407 1.954783 2.022374 1.789591 1.84745 1.908799 1.958416 2.047967 2.072029 2.16116 2.267877 1.764389 1.849283 1.867515 1.978236 2.087345 2.127355 2.135546 2.166175"
2014-06-10T12:34:10Z	180000	8	3.6696780624999996	true	2.918	4.421	ms	"2.575618 2.787852 3.053365 3.193578 3.455077 3.855877 4.069965 5.036441 3.11667 3.159136 3.263694 3.511621 3.805781 3.833428 4.25937 4.924195 3.211315 3.308224 3.392884 3.656648 3.800956 3.831863 3.969071 4.914963 2.472201 3.075296 3.121764 3.436015 3.682933 3.696277 5.123104 5.203198 2.549788 2.61891 3.064091 3.411245 3.535845 3.944683 3.966494 5.738137 2.737977 2.783813 2.917832 3.458845 3.781113 3.83537 4.205494 5.79653"
2014-06-10T12:34:10Z	180000	2	16.30229352083333	true	8.780	23.824	ms	"8.247138 8.274975 8.329754 8.71595 20.793826 26.360707 27.491112 27.62237 8.422186 8.574958 8.870233 9.816274 11.899715 13.764341 14.608731 15.616668 8.409515 8.455369 9.190037 22.971857 26.80093 27.130593 27.657415 31.346566 8.204328 8.251312 8.39496 8.514082 9.574187 10.963166 13.17526 20.357908 8.350727 8.825325 11.270866 18.980607 24.781767 26.295353 26.414088 27.610471 8.298875 9.149494 13.818141 22.280432 22.761714 22.981428 26.666982 27.217396"
2014-06-10T12:34:10Z	180000	1	16.423782708333334	true	16.334	16.513	ms	"16.429645 16.431895 16.436636 16.440564 16.441963 16.449379 16.458914 16.465348 16.430111 16.435576 16.439672 16.440788 16.444535 16.445258 16.448108 16.448537 16.537707 16.539243 16.540189 16.543773 16.55118 16.552466 16.556646 16.567452 16.26872 16.272896 16.274152 16.275534 16.28354 16.284303 16.286408 16.289334 16.469876 16.49546 16.505039 16.506945 16.507042 16.509081 16.515041 16.521964 16.29854 16.30662 16.324496 16.325133 16.328243 16.328285 16.341613 16.34772"
2014-06-10T12:34:10Z	180000	32	1.584007625	true	1.384	1.784	ms	"1.318891 1.346825 1.389275 1.499122 1.505449 1.584976 1.595848 2.006669 1.400743 1.439224 1.442935 1.559687 1.584605 1.61976 1.675657 2.218787 1.386018 1.393363 1.439927 1.455139 1.469038 1.565367 1.6164 1.94105 1.458941 1.470965 1.5068 1.533465 1.588656 1.622444 1.717879 2.080947 1.306896 1.439242 1.49809 1.506509 1.52885 1.567296 1.626393 2.038426 1.414026 1.448744 1.516251 1.534639 1.620002 1.666563 1.708499 2.177088"
2014-06-10T12:34:10Z	180000	4	6.924414479166663	true	4.285	9.563	ms	"5.072412 5.679611 6.058195 6.893809 7.00999 7.509675 8.588969 8.610551 4.305741 4.539935 4.766531 6.753229 8.137581 15.151344 15.32425 16.457629 4.197272 4.405908 4.569293 5.061793 5.363164 6.557844 7.277617 8.307041 4.23018 5.080047 5.39218 6.509153 7.005149 7.153716 7.912507 12.968956 4.269168 4.765033 5.599596 6.011563 6.194441 7.289334 7.328852 8.230751 4.241474 4.992443 5.141823 5.490215 6.2702 6.863639 8.16188 8.670211"
2014-06-10T12:34:10Z	180000	16	2.3419476041666667	true	2.001	2.683	ms	"2.195941 2.285724 2.293223 2.334954 2.596454 2.611381 2.806099 3.079187 2.096204 2.146042 2.360887 2.43009 2.564932 2.58736 2.762642 3.142861 2.149327 2.171606 2.287905 2.348616 2.352773 2.53752 2.615524 2.839316 1.947149 2.031397 2.07249 2.073309 2.287285 2.327034 2.454233 3.141334 1.578306 1.771802 1.886021 2.017409 2.152628 2.264719 2.504391 2.859485 1.719158 1.775553 2.026607 2.147568 2.182038 2.236633 2.401668 2.9587"
2014-06-10T12:34:10Z	300000	64	2.5006023749999993	true	2.273	2.728	ms	"2.41441 2.4904 2.49341 2.51682 2.565078 2.572812 2.60254 3.058908 2.158664 2.288984 2.29477 2.301288 2.322796 2.403305 2.411423 2.758518 2.343302 2.514504 2.525093 2.577455 2.821737 2.896165 3.005633 3.1251 2.246144 2.310058 2.381409 2.409746 2.417279 2.417951 2.446246 2.715032 2.16865 2.208846 2.246151 2.260254 2.344753 2.358655 2.588473 2.805091 2.128554 2.211564 2.37393 2.567394 2.66725 2.685042 2.698664 2.908663"
2014-06-10T12:34:10Z	300000	8	6.0235507708333325	true	4.686	7.361	ms	"4.091795 4.954871 5.039919 5.370128 6.405878 6.993204 7.849692 9.122306 5.14044 5.274738 5.771794 6.000559 6.505926 6.604779 7.071962 8.631148 4.966897 5.166459 5.316189 5.365796 5.474299 5.868966 6.114641 7.710127 4.339678 4.990592 5.058978 5.178255 5.44557 5.644071 5.660755 8.462918 3.962964 4.509333 5.132974 5.348476 6.460462 6.863132 9.720746 10.128235 4.476586 4.65075 5.042379 5.310518 5.579202 5.849731 7.012666 7.488953"
2014-06-10T12:34:10Z	300000	2	30.014393249999998	true	13.297	46.732	ms	"13.761726 13.774191 13.780426 13.810296 13.813854 13.821877 13.851882 14.465875 14.014806 14.050936 14.188346 16.987253 24.162385 24.624041 35.060068 39.868849 13.958836 14.027442 14.371432 24.508998 47.874164 51.061637 51.514306 52.599693 13.742008 13.877137 19.641872 22.320377 47.508372 64.995333 66.654133 71.978739 14.082047 22.594286 42.820208 44.757797 47.164222 47.431218 47.669107 47.927781 13.785555 13.854445 14.072191 15.534193 39.901126 45.556735 45.743876 53.124799"
