date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	0.8755814791666666	true	0.684	1.067	ms	"0.532508 0.89667 0.898471 0.900157 0.910279 0.912573 0.925479 0.981808 0.331518 0.491684 0.608417 1.033021 1.033048 1.037892 1.056245 1.151383 0.453264 0.898913 0.915174 0.923393 0.931227 0.934012 0.976754 1.003494 0.459986 0.909888 0.964055 0.983332 0.997141 1.027182 1.036813 1.086255 0.371008 0.40225 0.95082 0.955556 0.955958 0.961847 0.970875 1.020417 0.646548 0.900947 0.908725 0.913915 0.923555 0.959219 0.981317 1.002918"
2014-06-10T12:34:10Z	1000000	8	0.3408064583333334	true	0.312	0.370	ms	"0.335496 0.33874 0.350888 0.353926 0.365933 0.373957 0.381946 0.404581 0.324351 0.340735 0.356509 0.358293 0.359057 0.360986 0.361397 0.371106 0.29544 0.305152 0.31201 0.317796 0.324908 0.327694 0.331095 0.383426 0.275238 0.296363 0.301213 0.310013 0.311531 0.328755 0.343527 0.358183 0.321892 0.333262 0.340671 0.360073 0.36288 0.363876 0.408587 0.417218 0.276563 0.30328 0.32386 0.328124 0.329034 0.339385 0.341146 0.348614"
2014-06-10T12:34:10Z	1000000	2	0.5730073125000001	true	0.478	0.668	ms	"0.568958 0.578011 0.58333 0.584401 0.585491 0.595474 0.603833 0.606784 0.506014 0.511137 0.526852 0.641641 0.699053 0.834583 0.837089 0.860183 0.466002 0.468855 0.481638 0.507859 0.64369 0.748774 0.765094 0.766687 0.479766 0.486044 0.486378 0.493363 0.494909 0.497952 0.499669 0.517813 0.485928 0.499537 0.502801 0.503658 0.509043 0.513866 0.524249 0.535764 0.544944 0.556343 0.556559 0.559792 0.560557 0.565467 0.572352 0.586164"
2014-06-10T12:34:10Z	1000000	1	0.8271553749999998	true	0.795	0.859	ms	"0.805847 0.805863 0.810678 0.813879 0.848469 0.848587 0.849404 0.855109 0.897149 0.897587 0.897621 0.897668 0.897981 0.898038 0.898073 0.899276 0.807927 0.807948 0.808409 0.808525 0.808697 0.808828 0.809292 0.809467 0.807712 0.807887 0.80807 0.808213 0.808333 0.808352 0.808446 0.809576 0.807396 0.807511 0.807865 0.808028 0.808372 0.808911 0.809004 0.809215 0.809319 0.809371 0.809711 0.809911 0.81006 0.810354 0.810579 0.81094"
2014-06-10T12:34:10Z	1000000	32	0.6210012291666668	true	0.375	0.867	ms	"0.366347 0.441553 0.458969 0.849194 0.850541 0.85177 0.904269 1.132041 0.452883 0.76449 0.837608 0.926765 0.970337 0.97835 1.009757 1.217476 0.311659 0.390505 0.390882 0.391089 0.391347 0.427722 0.434744 0.44297 0.383699 0.392857 0.41121 0.531282 0.65693 0.84544 0.853815 0.891773 0.363847 0.455152 0.478948 0.790956 0.82023 0.852006 0.910278 0.993606 0.353165 0.355505 0.356989 0.359198 0.372543 0.380894 0.400691 0.403777"
2014-06-10T12:34:10Z	1000000	4	0.40482660416666655	true	0.368	0.441	ms	"0.378197 0.387727 0.397004 0.398392 0.406352 0.423086 0.430112 0.435159 0.314141 0.377794 0.409289 0.421759 0.433453 0.435161 0.454716 0.463056 0.369058 0.374152 0.412708 0.419926 0.425423 0.4302 0.465135 0.495632 0.351327 0.374939 0.383149 0.387476 0.395905 0.399406 0.400562 0.472366 0.348873 0.354204 0.395516 0.398141 0.410264 0.444473 0.457855 0.459722 0.334075 0.338428 0.35317 0.368865 0.395082 0.410123 0.418843 0.421281"
2014-06-10T12:34:10Z	1000000	16	0.46895489583333344	true	0.198	0.740	ms	"0.360832 0.381758 0.39161 0.3988 0.41177 0.421476 0.428047 0.435936 0.400525 0.402954 0.433844 0.497126 0.961042 0.986545 1.144564 2.103806 0.329623 0.354418 0.356888 0.367868 0.372829 0.383523 0.383747 0.387106 0.309921 0.335019 0.34294 0.35918 0.374713 0.37493 0.379703 0.395274 0.404333 0.405118 0.407373 0.431142 0.437341 0.438967 0.440621 0.465492 0.328656 0.380188 0.383848 0.388685 0.395786 0.403036 0.404588 0.426344"
2014-06-10T12:34:10Z	3000000	64	0.7453925208333332	true	0.642	0.849	ms	"0.66889 0.70233 0.720886 0.730062 0.751477 0.768867 0.790357 0.848853 0.63835 0.709499 0.730639 0.765028 0.791658 0.80567 0.877404 0.997174 0.5243 0.564298 0.656392 0.716544 0.74145 0.757044 0.86214 1.115997 0.645111 0.646939 0.675123 0.67808 0.686374 0.695853 0.722502 0.727822 0.531584 0.626686 0.754988 0.770151 0.815832 0.871851 0.880665 1.002488 0.682246 0.696959 0.708027 0.709866 0.737033 0.746446 0.747383 0.783523"
2014-06-10T12:34:10Z	3000000	8	0.6600455833333333	true	0.608	0.712	ms	"0.641932 0.658683 0.67595 0.685717 0.728538 0.750947 0.796584 0.806188 0.602763 0.623674 0.633282 0.640351 0.642113 0.64513 0.649682 0.653726 0.559165 0.610313 0.613141 0.627006 0.629266 0.631627 0.641876 0.678801 0.555052 0.558247 0.589531 0.609861 0.615082 0.636916 0.653167 0.66692 0.653334 0.667608 0.670926 0.674932 0.711665 0.714771 0.72677 0.728326 0.614583 0.622516 0.63833 0.656564 0.685698 0.717843 0.724387 0.762704"
2014-06-10T12:34:10Z	3000000	2	1.856550041666666	true	1.577	2.136	ms	"1.586031 1.604884 1.611016 1.851746 1.876779 2.108379 2.121122 2.331146 1.403811 1.87811 1.970396 1.976434 2.024518 2.124579 2.195078 2.501495 1.287155 1.440503 1.474269 1.71558 1.950165 2.066901 2.261821 2.265665 1.289708 1.59082 1.67544 1.725084 1.935142 2.041612 2.148239 2.222658 1.468951 1.520697 1.686131 1.760072 1.839304 1.881149 1.892461 2.147906 1.472845 1.478152 1.489306 1.938168 1.957518 1.978674 2.151833 2.194949"
