date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	600000	64	7.593549291666666	true	4.415	10.772	ms	"4.519932 4.57558 5.237487 5.468444 5.581351 5.851995 6.14929 6.392659 4.223088 7.106193 7.408658 8.312511 10.709336 10.85836 11.369032 11.455679 4.178668 5.442603 6.982058 7.99684 9.069456 11.54174 12.210627 21.814172 3.265641 4.067649 4.260608 4.887058 7.294221 7.598258 12.4167 13.762847 4.193012 4.413655 5.517696 8.06614 8.08388 8.405492 10.392211 11.761468 4.09327 5.757857 6.071749 6.476555 6.535752 6.558353 7.495525 8.65901"
2014-06-10T12:34:10Z	600000	8	4.976854083333333	true	4.377	5.576	ms	"4.52365 4.608716 5.243971 5.460611 5.475072 5.52383 5.806444 5.899457 4.040447 4.669841 4.896766 5.323229 5.530453 5.547291 5.559266 5.978584 3.987225 4.151036 4.443073 4.570286 4.596969 4.843908 5.033178 5.320039 4.232182 4.268226 4.371151 4.374377 4.416632 4.621233 4.624922 4.927937 4.891852 5.085382 5.234744 5.398392 5.687999 5.703109 6.268643 6.504561 3.852889 4.175929 4.2842 4.365352 4.70254 4.963317 5.095219 5.804866"
2014-06-10T12:34:10Z	600000	2	23.21687881250001	true	6.285	40.148	ms	"10.198769 11.97601 15.241607 18.063356 27.628817 34.516505 41.671006 49.470946 8.947311 18.527667 34.787475 35.400415 39.048081 39.78006 46.038195 74.251317 8.511339 8.515129 9.303006 9.569084 9.987169 10.035463 10.205114 10.226116 8.276778 8.537227 8.591998 8.810897 8.893361 8.904794 9.17991 9.354165 10.070099 10.467585 10.862674 11.289832 23.989898 26.095234 26.980219 36.906591 9.66835 10.114998 10.188785 49.489527 51.263539 53.794016 55.71658 65.063169"
2014-06-10T12:34:10Z	600000	1	16.605066604166666	true	15.002	18.209	ms	"15.910148 16.241008 16.322626 16.820314 16.929664 17.022889 17.136891 18.683671 15.921524 16.102079 16.780219 17.070446 17.63673 17.715498 17.981022 19.541971 14.233396 14.313158 14.758428 15.161755 15.56338 15.887574 16.360941 16.64062 14.634004 14.683796 15.476782 15.56575 15.622668 15.664492 15.667757 15.766121 18.029042 18.327854 18.35924 18.739819 19.815997 20.14381 20.147162 21.549987 14.745093 14.833459 15.003938 15.18839 15.35747 15.519197 15.695751 15.769666"
2014-06-10T12:34:10Z	600000	32	4.235424083333332	true	3.840	4.631	ms	"4.143598 4.250467 4.261756 4.445227 4.48213 4.516998 4.719969 4.738347 3.325354 3.448921 3.452357 4.284479 4.294524 4.382627 4.413169 4.62314 3.649323 3.895649 3.896319 3.949184 3.994494 4.027543 4.321379 4.346834 3.379206 3.842051 3.959192 4.235388 4.40407 4.455906 4.585857 4.694597 4.233358 4.410878 4.446285 4.514411 4.569438 4.824852 4.894653 4.901605 3.29267 3.875962 3.918304 4.111641 4.117397 4.127223 4.784685 4.856939"
2014-06-10T12:34:10Z	600000	4	7.096045145833334	true	5.462	8.730	ms	"5.308424 6.04969 6.10986 6.812081 7.303266 7.321359 7.597618 8.460391 5.344827 5.351573 5.491108 5.772329 6.064614 6.144276 6.238918 6.359323 4.974652 6.801707 7.724342 8.181134 8.395384 8.852668 9.542362 9.96031 5.152471 5.15797 5.166344 5.27451 5.328587 5.42286 5.840371 5.865451 6.200094 6.500123 6.920776 7.181311 8.65823 8.670262 9.089109 9.270232 5.825645 6.79242 7.240281 8.34525 8.383717 8.866662 9.44544 13.849835"
2014-06-10T12:34:10Z	600000	16	4.224375645833334	true	3.799	4.649	ms	"3.49446 4.189053 4.340074 4.375148 4.430062 4.637559 4.813117 5.554655 3.635139 3.69379 3.734271 3.747285 3.834363 3.913982 3.935698 4.041942 3.852932 3.878959 3.977291 4.126104 4.159694 4.247026 4.294224 4.315431 3.698747 3.702618 3.778492 3.897913 4.084696 4.22151 4.356139 4.607021 4.138074 4.388105 4.732998 4.772731 4.951807 5.00872 5.06128 5.074142 3.542425 3.843565 3.967687 4.206499 4.226872 4.294364 4.42056 4.570807"
2014-06-10T12:34:10Z	1800000	64	10.46417785416667	true	8.906	12.022	ms	"8.495026 8.791208 9.105288 9.286967 9.96924 10.285169 10.340425 10.650522 9.504092 9.674339 10.192458 10.2366 10.280408 10.378294 10.790688 11.259103 8.156607 8.386198 8.904416 8.943024 9.703443 10.405205 11.043238 11.082456 8.444172 9.459183 9.773045 9.782796 9.905201 9.911021 9.984997 11.840268 10.367547 10.510822 10.546032 11.141303 11.375258 11.565126 12.135753 12.9816 8.484627 8.800746 11.096404 11.486467 11.7465 12.466043 16.106178 16.505034"
2014-06-10T12:34:10Z	1800000	8	13.629280416666667	true	12.216	15.043	ms	"12.520634 12.659941 13.351378 13.582233 13.602391 13.716055 13.761309 15.489525 12.947246 14.854164 15.52172 15.568923 15.619882 16.272097 16.500324 18.514041 10.980703 11.567924 12.101864 12.927203 13.089875 13.193356 13.721544 14.166581 11.27279 11.427338 11.747777 12.220575 12.354673 12.578311 12.73023 13.866835 12.574824 12.715364 12.835451 12.877503 13.583853 13.676555 13.771207 14.546403 12.329781 13.23819 13.501463 13.642418 14.590816 15.120053 15.14922 15.622917"
2014-06-10T12:34:10Z	1800000	2	43.683473125000006	true	15.042	72.325	ms	"27.545235 28.421058 30.374544 30.391482 31.329904 32.062249 32.757975 33.847518 30.690045 31.892216 31.900448 31.940787 32.587137 32.74923 33.129753 34.058076 26.10722 26.772508 32.092474 32.656073 90.293346 113.208199 119.339072 168.070175 25.902566 25.911471 26.288972 27.692759 28.842259 29.675725 30.097048 31.162796 31.018209 31.755839 32.417302 33.312979 33.893997 34.241825 35.082745 38.541613 28.257339 32.317679 33.028911 49.340882 52.362674 76.906152 95.665098 118.873146"
2014-06-10T12:34:10Z	1800000	1	52.27627908333336	true	47.595	56.957	ms	"46.635336 48.589435 50.441097 50.579017 51.531326 52.179694 53.89851 54.186834 55.474129 56.304303 56.998631 57.204417 57.312354 58.137081 58.594067 59.057061 43.940694 44.311083 44.405716 44.597026 46.152017 46.17479 46.477926 47.158925 47.007465 47.751232 47.762488 49.840878 50.06189 50.304308 51.659165 53.46711 55.336557 56.865152 57.517131 57.831797 58.693539 58.874246 60.875071 61.274905 45.483931 45.985633 52.690743 53.056012 53.077007 53.808395 54.569041 55.126231"
2014-06-10T12:34:10Z	1800000	32	10.101324145833331	true	9.221	10.981	ms	"7.643474 9.493217 9.52944 9.909306 10.339757 10.804612 10.823256 11.248332 10.001294 10.180483 10.223334 10.226386 10.259531 10.341069 10.515277 10.779023 8.161023 8.328278 9.734645 9.888334 10.601794 10.718461 10.935839 11.281333 8.39638 8.761135 9.122803 9.271569 9.809667 9.9364 10.095459 10.557645 8.825233 10.38846 10.401172 10.523667 10.748132 10.869424 11.830491 12.077842 8.76991 9.30376 10.034262 10.090526 10.228639 10.300407 10.927447 11.625631"
2014-06-10T12:34:10Z	1800000	4	21.701365999999997	true	17.342	26.060	ms	"15.4817 16.032708 16.518326 16.962025 17.446807 17.543768 18.514717 22.422565 18.348928 21.090272 21.308961 21.791188 21.883813 22.292023 22.677966 23.619251 15.1975 15.434162 16.090295 24.230836 30.210091 31.357285 31.755832 32.496813 16.634305 18.048078 19.773668 19.888637 24.328459 26.009639 26.437873 30.174912 21.85964 22.606684 22.709525 22.711295 23.645404 24.40459 24.582105 25.142795 15.062442 15.787721 16.332646 20.74176 21.729967 21.979241 23.416219 26.950131"
2014-06-10T12:34:10Z	1800000	16	10.422544583333332	true	9.231	11.615	ms	"9.205136 9.50641 9.556141 9.639074 9.714324 9.733161 9.956022 10.240074 10.558761 10.727053 10.94644 11.432758 11.577843 11.66095 11.74607 13.131891 8.537334 8.643472 8.710641 8.769475 8.993959 9.225603 9.245401 10.041596 8.972591 9.703562 9.891809 10.087102 10.298715 10.602684 10.97853 11.897418 10.586435 10.900164 11.498875 11.542745 12.026387 12.267093 13.527415 14.014786 9.083283 9.429778 9.513847 9.926788 10.16686 10.251677 10.766807 10.8472"
