date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	600000	64	7.2928378125	true	4.367	10.219	ms	"5.38223 5.91367 6.044928 6.300193 6.379278 6.460131 6.635745 8.059811 5.801575 5.814515 5.893281 5.944292 6.003843 6.142869 6.214953 6.352433 5.635344 5.991126 6.70741 6.795885 6.950702 7.033888 7.157456 8.632567 5.684233 5.95323 6.109484 6.116932 6.265431 6.274569 6.655664 7.163235 5.445736 6.102377 6.176954 12.339561 13.361921 13.734061 16.936901 21.74118 5.956969 6.056386 6.113304 6.168404 6.180722 6.215097 6.415432 6.640307"
2014-06-10T12:34:10Z	600000	8	10.293790791666666	true	8.048	12.540	ms	"7.580716 8.514176 9.08462 10.407086 12.387159 13.201875 14.19889 16.746682 8.0439 8.142006 8.160205 9.611652 9.624035 9.824853 10.722453 14.384135 10.006946 10.490023 10.937945 11.061457 11.793887 12.283735 12.475592 15.910187 7.075374 7.293852 7.959165 8.489272 8.887698 9.253756 9.345806 13.942423 8.012738 9.328575 9.493699 10.136966 10.641194 11.541249 11.851855 15.479734 6.236549 7.918074 8.529447 8.616859 8.98645 9.071368 10.118484 10.297156"
2014-06-10T12:34:10Z	600000	2	59.38168041666668	true	24.494	94.270	ms	"23.29343 27.670055 27.790624 102.17418 104.332007 129.41967 129.884341 131.590924 14.613637 15.005148 24.387612 39.158952 43.021279 51.856313 52.237069 84.798256 26.658131 26.798989 31.230243 31.921017 33.714299 34.648934 35.701603 38.151982 20.768343 21.310083 82.187779 87.358698 94.684832 95.299195 105.822379 116.79113 22.564434 29.376657 33.195515 34.284194 56.792357 93.843252 102.490355 104.524613 24.110912 30.251522 30.496224 30.72132 59.173685 103.112395 104.22604 106.876051"
2014-06-10T12:34:10Z	600000	1	41.612230249999996	true	32.378	50.846	ms	"28.319657 31.556986 32.430315 33.027683 33.077453 33.183112 33.31193 33.826275 28.742522 33.745204 46.887483 52.533883 53.796027 56.189718 56.330344 57.773474 41.629734 51.319706 51.633469 52.181896 52.532159 54.02118 54.877536 59.755318 41.421978 44.862947 44.887785 46.105515 46.199278 47.267221 48.347145 54.457531 24.76038 24.983543 25.141668 25.901519 32.526819 37.105111 37.695938 39.294408 33.573926 38.970684 39.486977 39.493147 40.264507 40.408858 40.503348 41.043755"
2014-06-10T12:34:10Z	600000	32	5.858908645833335	true	5.206	6.512	ms	"4.760663 4.907426 4.925851 5.082128 5.359395 5.374845 5.713761 7.267341 5.418301 5.657341 5.785094 5.944983 6.018261 6.068763 6.156215 6.62555 5.102761 5.245522 5.509623 5.865669 6.50151 6.568725 6.864266 8.604711 5.126788 5.761183 6.026623 6.114697 6.16798 6.316413 6.320173 6.809337 5.100981 5.445094 5.589052 5.641681 5.669868 5.728587 5.77202 6.572346 5.02526 5.454023 5.583631 5.66092 5.706721 5.73866 5.769965 6.796907"
2014-06-10T12:34:10Z	600000	4	27.215703520833333	true	16.485	37.946	ms	"12.599307 13.550911 16.592896 19.869674 23.040454 28.19053 33.634033 46.101882 13.371225 16.239866 19.642517 19.787069 19.960873 20.273715 22.774787 34.941308 16.048279 19.790443 28.273174 30.162863 35.466725 39.675424 40.092494 48.814558 14.27751 16.298124 17.817036 21.281752 23.923143 30.710534 36.177062 41.917799 13.310421 16.80868 18.095405 23.076083 26.020863 29.163425 34.479377 40.875472 12.208748 18.020788 27.646435 29.710123 47.632386 49.055887 49.311913 49.639796"
2014-06-10T12:34:10Z	600000	16	6.7515701041666665	true	5.725	7.778	ms	"5.371477 5.960539 6.000129 6.15169 6.266355 6.268888 6.271229 6.691788 7.103096 7.168282 7.176804 7.256735 7.845396 7.958552 9.109451 9.569622 6.756955 7.213689 7.238606 7.44331 7.798054 8.091311 8.753031 9.367525 4.163236 5.829135 5.835063 5.907285 6.375826 6.626787 6.719329 7.263986 4.797113 4.926629 6.498284 6.632301 6.691843 6.731966 7.30206 7.360797 5.455305 5.949975 6.047545 6.064009 6.310839 6.344338 6.684889 6.724311"
2014-06-10T12:34:10Z	1800000	64	15.815755645833335	true	13.990	17.642	ms	"14.905354 15.11601 16.022337 16.455704 16.481812 17.044063 17.772161 18.26125 9.701721 12.064523 12.460552 14.478338 14.90418 15.172934 16.73488 17.760613 17.222254 17.349333 17.378513 17.602827 17.728989 17.751323 18.101876 18.323179 11.478926 11.613379 15.453657 16.394924 16.630445 16.91287 17.433521 18.419694 14.268074 14.6362 14.825395 15.11605 15.430659 15.671026 16.446093 17.19707 13.942372 13.94761 14.710514 15.803071 15.976683 16.266235 16.484486 17.302591"
2014-06-10T12:34:10Z	1800000	8	44.96859545833334	true	29.102	60.835	ms	"47.605028 48.557355 53.339499 56.669552 57.266539 57.490026 62.946583 67.004297 45.233804 53.33655 54.183949 55.158797 60.987175 61.199573 62.732657 78.556869 16.943242 19.639814 20.541151 21.885936 22.283723 24.791508 27.521193 31.882517 18.288376 45.671667 46.664257 48.529196 54.686102 56.149118 56.897356 74.194148 46.947331 47.130509 49.537596 53.270479 56.996549 57.12939 57.596789 59.840765 16.061849 17.521972 22.456239 24.382497 25.20316 26.066376 38.558459 50.955065"
2014-06-10T12:34:10Z	1800000	2	152.15241520833334	true	60.202	244.103	ms	"46.656484 49.752299 151.94845 154.379348 157.52036 167.858444 344.824688 415.643967 35.000972 41.251102 50.107019 56.966233 112.903303 143.698812 216.634406 302.61515 57.32177 60.165655 66.175424 139.331816 139.400845 181.910022 249.649692 395.404578 121.546024 126.747907 132.985938 139.717879 236.137113 319.432618 339.685927 343.032326 106.566243 123.125956 123.503992 123.87975 125.103418 126.185792 133.377662 133.752009 47.881942 50.661364 58.230684 60.474465 123.013871 126.476292 134.276581 210.399338"
