date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	600000	64	6.0226168125	true	3.388	8.657	ms	"3.299209 3.517729 3.597872 3.841368 3.899187 4.08963 4.35573 4.694503 4.018506 4.137053 4.245645 4.39222 4.7819 4.851169 4.97758 5.216137 5.649253 6.318626 6.657909 6.733584 7.738504 8.058275 8.34924 9.546569 4.266363 4.696628 6.935152 9.921458 11.360042 12.541359 13.2885 16.369418 4.988099 5.262054 5.282602 6.180923 6.800567 6.90834 7.184477 7.941602 3.199976 3.899316 3.974305 4.144642 4.165962 4.212097 4.251128 4.343199"
2014-06-10T12:34:10Z	600000	8	5.159566541666666	true	4.134	6.185	ms	"3.872878 4.57732 4.673448 4.820197 4.883542 5.682933 5.875069 6.460017 4.103969 4.167267 4.706189 5.106731 5.842174 5.867604 6.069845 8.300243 4.184546 4.652033 4.761747 5.921545 6.489802 6.772876 7.233391 7.546013 3.565312 3.884806 4.274426 4.64642 5.214167 5.226372 6.078749 7.786771 4.007038 4.186617 4.471927 4.653993 4.733817 4.895382 5.112051 5.216774 3.688594 4.203841 4.210822 4.698589 4.724263 4.756316 4.863586 5.987182"
2014-06-10T12:34:10Z	600000	2	20.561937541666676	true	5.085	36.039	ms	"28.619076 33.677089 35.277126 40.901438 43.212956 46.348615 60.700098 61.323759 8.766955 8.932902 9.111566 9.152232 9.609304 9.662128 9.869383 10.408993 8.356351 8.902706 8.994229 9.263367 9.459476 9.611414 9.671902 9.709675 8.592126 10.366903 16.962937 26.81591 27.480835 29.529362 38.854671 56.485585 7.808998 9.062208 9.095541 21.435331 24.212881 25.923297 51.736656 52.13448 8.187394 8.443734 8.679549 8.751636 8.813522 8.909984 9.566126 9.580596"
2014-06-10T12:34:10Z	600000	1	14.555126249999995	true	14.053	15.057	ms	"13.949856 14.159258 14.169342 14.904532 15.042089 15.206065 15.270561 16.079158 14.483263 14.725258 14.890682 14.971663 15.055607 15.201449 15.567115 15.905602 13.913444 14.241818 14.41078 14.43316 14.565573 14.594517 14.73638 14.790447 14.267459 14.426521 14.569939 14.705398 14.718847 14.734854 14.748675 14.867717 13.692973 13.886064 14.214717 14.289133 14.298997 14.656623 14.73779 14.747588 13.717933 13.815109 13.820739 13.945364 13.966018 14.086245 14.08992 14.373818"
2014-06-10T12:34:10Z	600000	32	3.356041666666665	true	3.095	3.617	ms	"3.052434 3.122851 3.377243 3.459982 3.544987 3.675417 3.987029 4.027059 3.111394 3.191805 3.202337 3.237143 3.286329 3.287145 3.414556 3.456603 3.139571 3.185783 3.213879 3.44152 3.547321 3.582611 3.935216 4.186618 3.012507 3.087049 3.188827 3.251916 3.297022 3.303314 3.396439 3.441571 2.865041 2.958609 3.009154 3.116215 3.134154 3.315587 3.368421 3.428699 3.120863 3.217937 3.311536 3.340089 3.444459 3.504931 3.56937 3.739457"
2014-06-10T12:34:10Z	600000	4	6.606450041666666	true	5.368	7.845	ms	"4.994162 5.444863 6.333904 6.724346 6.791769 7.221972 8.051397 8.695588 5.042619 6.562696 6.585727 6.66812 6.773304 7.208926 7.935634 7.940185 4.832045 6.312442 6.605191 6.617527 6.927438 6.953973 6.959294 10.253563 5.780797 5.940887 6.492878 7.583797 8.177186 9.025226 9.15948 9.202816 4.488438 4.507924 4.881582 5.587078 5.894774 6.104888 6.17555 6.682838 4.836402 4.877585 5.055223 5.245797 6.145109 6.735848 6.942884 7.14793"
2014-06-10T12:34:10Z	600000	16	3.4464685624999998	true	3.230	3.663	ms	"2.999412 3.195314 3.335074 3.438822 3.469946 3.56092 3.57442 4.0468 3.259117 3.393932 3.581003 3.613806 3.629637 3.658051 3.736752 4.147761 3.090092 3.311132 3.35128 3.359711 3.426399 3.470174 3.494303 3.521338 3.206767 3.220143 3.338849 3.386471 3.445601 3.463857 3.5597 3.638128 3.08357 3.149728 3.188279 3.216716 3.343825 3.350785 3.386193 3.556366 3.171077 3.180869 3.593034 3.595457 3.622138 3.636458 3.701959 3.729325"
2014-06-10T12:34:10Z	1800000	64	8.438852687499997	true	7.436	9.442	ms	"7.153902 7.665879 8.394408 8.453814 8.762093 9.188834 9.626569 9.76872 8.174235 8.190133 8.7292 9.232948 9.453074 9.502135 9.530041 9.572417 7.010684 7.700543 7.826862 7.952648 8.171399 8.461018 8.709402 9.275968 6.933861 7.067713 7.709065 8.289289 8.30811 8.406164 8.406886 8.743884 7.845739 7.868025 8.761497 9.16976 9.593662 9.769679 9.940437 12.6457 7.058385 7.074328 7.080632 7.307344 7.547888 7.586125 7.689836 7.753994"
2014-06-10T12:34:10Z	1800000	8	12.096964583333332	true	10.454	13.740	ms	"9.716974 11.62094 12.121955 12.145718 12.771231 13.397508 13.787049 14.41712 10.013531 10.219547 10.222089 10.440494 10.696302 10.713231 10.85254 11.19529 9.515383 9.898723 9.992952 11.443634 11.45854 12.225814 12.959624 13.239131 9.623877 10.23165 11.484312 12.555352 12.891532 13.625932 14.505294 14.676547 10.490101 12.020957 12.294425 13.113797 14.690627 15.333782 15.523332 16.213847 10.182274 10.455318 10.839357 11.630515 12.927353 12.984379 13.12459 14.16983"
2014-06-10T12:34:10Z	1800000	2	72.15253741666665	true	26.271	118.035	ms	"24.550677 24.966944 56.062089 88.187261 98.888907 104.36105 111.044417 144.751381 28.86586 39.008647 50.601227 110.755833 117.808712 156.54269 165.243224 166.059141 24.611379 24.915908 28.81004 29.431013 70.999154 112.202254 122.556627 182.95701 23.689867 24.424849 26.281247 87.265033 87.399512 88.681263 107.086232 118.63406 25.808234 27.722199 27.957223 28.708056 28.881735 29.312475 29.347036 29.688052 26.122336 26.292416 29.372372 56.669481 85.103398 89.944901 103.135249 171.613125"
2014-06-10T12:34:10Z	1800000	1	47.46328158333335	true	44.777	50.150	ms	"43.273872 46.955527 48.910781 49.183361 49.611307 49.613474 50.530617 51.743245 44.654682 45.48068 45.95898 46.001246 46.83452 47.107486 47.421477 48.147978 45.172643 45.595564 46.143731 47.907089 49.271134 49.980798 50.132014 50.536037 41.803973 42.223846 43.601253 44.817406 46.279056 46.988028 47.112008 49.891416 45.233024 45.465613 49.939808 50.115755 51.796463 52.327914 52.738914 53.525245 41.629399 44.311083 45.450002 45.74579 46.587207 46.629913 48.42691 49.429247"
2014-06-10T12:34:10Z	1800000	32	8.713962229166668	true	7.340	10.088	ms	"7.457245 7.513643 8.455113 8.584129 8.790987 9.069219 9.144648 9.567392 7.621452 7.664578 7.935663 7.996698 8.027356 8.06006 8.085146 8.296743 7.309729 7.990477 8.019553 8.100571 8.222902 8.562229 9.09497 9.408421 7.64778 7.725082 8.263931 8.333095 8.595683 8.757265 8.965805 9.723393 7.76489 9.94249 10.689389 10.703374 10.782011 10.830613 12.355048 15.478673 7.192507 7.622538 7.701017 7.713838 7.943273 8.072988 8.182872 8.303708"
2014-06-10T12:34:10Z	1800000	4	19.172273937499998	true	13.813	24.531	ms	"14.341269 15.300638 15.626964 17.193553 18.652558 18.947202 19.992173 22.61792 14.744975 15.204568 15.71919 15.797993 16.522817 17.043335 17.072463 17.326 19.4356 20.369002 21.481256 22.890785 23.272136 23.535613 24.611196 25.450025 14.232777 14.380518 15.094682 15.267089 15.539076 16.069916 16.098976 16.388672 15.72591 16.212224 16.642306 23.556047 23.852078 27.874922 31.434722 47.97495 15.504296 15.839746 17.000497 17.5177 17.74062 18.421997 18.991049 19.759148"
2014-06-10T12:34:10Z	1800000	16	9.4753505	true	8.624	10.327	ms	"7.566393 8.62492 9.463065 10.180897 10.199378 10.34036 10.500076 10.796666 8.081488 8.176355 8.358078 8.557976 8.967191 9.024923 9.499714 9.622834 8.127389 8.199199 8.386625 9.429159 10.111556 11.010348 11.012459 11.446778 8.551443 8.645728 8.733365 8.783623 9.204739 9.214062 9.660778 9.905117 9.689775 9.73494 9.977328 10.064065 10.107462 10.273441 10.688628 10.77955 8.654968 8.754221 9.092035 9.141125 9.410187 9.868495 9.901637 10.296285"
2014-06-10T12:34:10Z	3000000	64	13.258247208333335	true	12.395	14.122	ms	"11.862656 12.078735 12.386236 12.647614 12.938243 13.345485 13.613404 13.926995 12.45297 12.551842 13.066218 13.100427 13.282061 13.297509 13.752909 14.145183 11.222834 12.651731 13.122418 13.282004 13.407179 13.484222 13.512455 13.546148 12.560826 12.859683 12.96282 13.087258 13.141164 13.143152 13.428402 13.519066 11.909523 13.199579 14.385503 14.405877 14.599783 15.065606 15.55024 16.297414 12.089547 12.496482 12.543255 12.554821 13.327618 13.407613 13.530105 13.653051"
2014-06-10T12:34:10Z	3000000	8	22.2969606875	true	18.665	25.929	ms	"16.848767 19.709982 20.839654 21.419133 22.68897 23.14199 23.385144 28.124376 16.4815 18.985265 20.388383 21.083804 21.859972 22.191136 25.038322 28.718826 20.933525 23.034468 23.639841 25.55206 26.559702 26.911932 27.903034 33.101741 18.456391 18.585993 19.689672 19.941125 21.026578 21.049728 21.161517 21.857833 20.737145 23.242329 23.815801 24.246984 25.371097 27.159584 28.31348 31.118649 17.778557 17.829278 17.934327 17.963041 18.414862 18.424385 18.769406 18.824824"
2014-06-10T12:34:10Z	3000000	2	100.68783495833333	true	38.476	162.900	ms	"42.965027 44.980186 47.001317 134.995911 158.831717 179.224705 207.994213 210.850463 42.07701 44.145285 45.224864 48.549771 83.2624 127.206782 170.899663 170.902126 43.284833 45.068194 45.148537 61.810164 157.727372 174.749276 204.602123 220.956671 42.449403 43.623894 45.655424 100.398075 125.38365 155.091493 194.337872 225.687569 42.812365 45.08934 46.41331 47.119023 47.334548 47.845919 48.416789 51.494213 42.954008 43.640981 44.618242 46.029537 96.275036 127.892739 184.029719 225.964319"
