date	param-size	param-par	value	success	cilo	cihi	units	complete
2014-06-10T12:34:10Z	1000000	64	2.1646930208333335	true	1.783	2.546	ms	"1.709359 1.812784 1.944473 2.110405 2.141394 2.236947 2.441156 2.636969 2.504846 2.632495 2.695596 2.723116 2.784685 2.807795 2.836854 3.012708 1.74907 1.779771 1.91468 1.951365 1.954969 1.990405 2.060105 2.382672 1.534713 1.770667 1.812423 1.891553 1.90383 1.980164 2.038889 2.220854 1.662008 1.690306 1.697168 1.751879 2.287929 2.288005 2.90442 3.085731 1.612023 1.885255 1.980072 2.056389 2.111786 2.129881 2.383018 2.411683"
2014-06-10T12:34:10Z	1000000	8	2.0604458541666664	true	1.857	2.264	ms	"1.643129 1.777228 1.777673 1.867316 2.0071 2.04997 2.154659 2.162845 2.03637 2.044733 2.064031 2.109284 2.145465 2.146203 2.222787 2.262085 1.836877 1.880591 1.951057 1.97435 1.983733 1.996682 2.072543 2.231888 1.805667 2.081913 2.203382 2.208746 2.31741 2.381622 2.563567 2.718786 1.770426 1.887452 2.002672 2.228831 2.268486 2.281478 2.306745 2.312124 1.759241 1.838786 1.85346 1.88194 1.882324 1.893974 1.946154 2.107616"
2014-06-10T12:34:10Z	1000000	2	11.172573875	true	4.211	18.134	ms	"3.72349 4.093187 7.615563 11.221268 12.936192 13.614057 20.815665 22.437367 4.520143 5.879291 6.716218 8.377256 12.905237 15.24427 18.469316 24.00569 3.403828 3.413369 3.515925 3.568832 3.72405 3.831266 4.127185 4.407356 3.414989 7.208427 8.307185 9.85491 10.219799 16.025595 18.608672 22.55453 3.478228 4.351369 5.024846 11.183617 12.568984 14.577212 22.644948 30.006771 6.357144 6.982198 7.920531 8.167171 13.344049 21.268809 22.657368 26.990173"
2014-06-10T12:34:10Z	1000000	1	6.768008541666667	true	5.994	7.542	ms	"6.016631 6.094828 6.26387 6.303201 6.313454 6.326429 6.376269 6.382042 6.209524 6.231834 6.247793 6.280752 6.310131 6.312321 6.349118 6.452417 6.246887 6.28038 6.303363 6.488025 6.590818 6.66265 6.691736 6.880295 6.249892 6.38308 6.392892 6.468298 6.480912 6.486386 6.505971 6.59586 6.34628 6.432425 6.49206 6.512426 6.557016 6.564209 6.596884 6.627736 8.431643 8.453125 8.555862 8.570815 8.589127 8.649092 8.653411 8.65424"
2014-06-10T12:34:10Z	1000000	32	1.7158598958333329	true	1.547	1.885	ms	"1.570981 1.572833 1.71379 1.758254 1.834362 1.851517 1.916991 2.206596 1.444864 1.513194 1.569944 1.570108 1.636077 1.649626 1.708983 1.905937 1.44487 1.475421 1.623527 1.756901 1.804182 1.830838 1.885136 1.983463 1.550208 1.564054 1.664955 1.736204 1.812384 1.884464 1.959664 1.963615 1.425756 1.478461 1.509145 1.519444 1.729669 1.813443 1.889664 1.942708 1.446152 1.590522 1.671286 1.671429 1.708005 1.718658 1.907322 1.975668"
2014-06-10T12:34:10Z	1000000	4	3.406027270833334	true	1.441	5.371	ms	"2.062348 2.171832 2.761275 2.855671 3.00227 3.043255 3.144568 4.666317 2.327434 2.389574 2.436099 2.445223 2.491486 2.543707 2.678217 2.714147 2.073741 2.095439 2.533094 2.632385 3.203286 3.374703 3.440848 3.81676 2.09334 2.363579 2.782657 2.784632 2.991998 3.00766 3.321556 3.758793 2.301188 2.376677 3.154818 3.319343 7.021131 9.667867 10.951819 11.87925 2.218432 2.768506 2.801635 2.828923 2.879488 2.935693 2.966524 3.410121"
2014-06-10T12:34:10Z	1000000	16	1.7310004166666673	true	1.496	1.966	ms	"1.541708 1.547273 1.60802 1.617917 1.716942 1.768038 1.820773 1.841606 1.469944 1.538129 1.578269 1.677788 1.800134 1.819977 1.931963 2.307082 1.279594 1.404422 1.676474 1.829847 1.902389 1.956794 1.973111 2.222842 1.286753 1.308736 1.40308 1.437131 1.478468 1.577317 1.750133 1.875727 1.495952 1.518669 1.61246 1.631714 1.653768 1.655428 1.779473 1.874891 1.622565 1.834715 1.912931 2.015511 2.046163 2.151461 2.16494 2.168998"
2014-06-10T12:34:10Z	3000000	64	4.356216166666667	true	3.954	4.759	ms	"3.662991 3.830717 3.917613 3.931618 4.333645 4.423397 4.620172 4.831419 4.067118 4.414618 4.418088 4.539937 4.587212 4.852925 4.899134 5.012374 3.737835 4.146337 4.149555 4.193602 4.311904 4.457235 4.574556 4.636747 3.48176 3.690928 3.995169 4.044713 4.057669 4.078682 4.361859 5.004704 3.844606 3.963125 4.32816 4.485571 4.768946 4.856576 4.929761 4.977381 3.705799 4.096235 4.100802 4.269081 4.494551 4.849159 4.915306 5.247084"
2014-06-10T12:34:10Z	3000000	8	5.482264812500001	true	4.905	6.060	ms	"4.565162 4.704175 4.89949 5.280643 5.667099 5.918794 6.506973 6.677866 3.899472 4.445661 4.508158 5.596941 5.715706 6.066929 6.504891 6.923792 5.237757 5.293029 5.349135 5.519383 5.523667 5.608699 5.738059 5.745773 5.051848 5.231711 5.237586 5.282361 5.448772 5.452345 5.481165 5.659153 4.918328 5.019934 5.489971 5.528737 5.545806 5.92729 5.980541 6.146774 4.520401 4.890823 5.04073 5.338213 5.512223 5.698377 6.370553 6.477815"
2014-06-10T12:34:10Z	3000000	2	29.395217354166665	true	2.215	56.576	ms	"10.173209 10.472349 14.206476 22.860913 27.46067 33.785633 55.336559 60.591232 10.262726 11.609274 12.725193 16.467623 33.66484 62.114375 66.620346 116.904965 9.996687 13.195422 13.956799 16.366171 49.897268 58.738511 105.450831 132.822036 10.180251 10.35159 11.596009 12.045377 12.827165 14.116392 14.338648 14.707462 10.253961 10.336006 11.068494 12.218098 13.011454 14.292761 14.362766 14.420208 12.550064 13.020824 13.154088 24.790017 28.388611 38.862234 53.227879 61.169966"
2014-06-10T12:34:10Z	3000000	1	21.472873375000002	true	19.057	23.888	ms	"18.822864 19.312983 19.38948 19.533515 19.865038 20.103022 20.406967 20.496197 18.984308 19.243678 19.992572 20.000326 20.718288 20.852969 21.383218 21.442535 18.622695 19.168618 19.1703 19.353547 19.614812 19.820613 19.89934 20.836819 19.123181 19.314459 19.7487 21.452191 21.812606 22.69752 23.978423 24.411317 20.45296 20.84302 20.99386 21.041643 21.121364 21.197882 21.43131 21.614209 25.887739 26.098183 26.453963 26.568047 26.570892 26.599384 26.933273 27.317092"
2014-06-10T12:34:10Z	3000000	32	5.2645973958333325	true	4.533	5.997	ms	"4.289809 4.565476 5.206642 6.155158 6.494278 6.605921 6.683811 6.710194 4.212373 4.253457 4.531837 4.701679 5.17087 5.358877 5.923877 6.643728 4.755812 4.954249 5.418071 5.567751 5.593764 5.746908 6.109469 7.062798 4.271289 4.484767 4.628403 4.68987 4.720116 4.720734 4.958273 5.004527 3.853268 4.686482 4.802244 5.253943 5.273831 5.706762 5.796742 6.530999 4.520095 4.675043 4.833004 5.068861 5.158744 5.182709 5.344132 5.819028"
2014-06-10T12:34:10Z	3000000	4	10.905767479166663	true	5.457	16.355	ms	"5.72951 6.716347 7.89713 8.871956 9.900813 11.476327 12.020793 15.273805 6.679542 6.956371 9.057251 9.981529 10.01751 10.325421 13.124903 15.736881 7.114369 8.528638 9.553638 16.458637 16.990839 17.709545 33.803883 36.290049 6.251905 6.612424 7.805566 8.760027 8.839641 9.742057 10.48418 13.802129 7.901159 9.38053 9.564366 9.626516 9.650402 9.789206 10.439875 10.734826 6.608797 6.750451 7.453127 8.259556 8.784614 9.232429 9.443963 11.343406"
2014-06-10T12:34:10Z	3000000	16	4.567173520833333	true	4.157	4.978	ms	"3.920614 4.198578 4.467172 4.482981 4.640575 4.657349 4.699517 4.731102 3.870539 4.193423 4.34717 4.419852 4.563249 4.644207 4.685944 4.805132 4.283003 4.409252 4.422462 4.464318 4.659487 4.764673 4.825691 4.83459 3.553125 4.176552 4.203307 4.302298 4.560406 4.990111 5.392687 6.051193 3.906886 4.339392 4.34496 4.468191 4.504503 4.523372 4.707289 4.712158 4.212612 4.222511 4.386243 4.793926 4.841094 5.167656 5.276846 5.596131"
2014-06-10T12:34:10Z	5000000	64	7.187834375	true	6.334	8.042	ms	"6.189828 6.282232 6.579599 6.74027 6.943961 7.039538 7.17224 7.189388 6.534512 6.643597 6.693351 6.935806 7.018698 7.047654 7.19472 7.513193 5.928432 6.830906 6.882946 7.014683 7.132173 7.223468 8.671318 8.947542 5.484639 6.381969 6.475583 7.020462 7.029798 7.696742 8.685831 8.882374 6.552225 6.977088 7.013477 7.319913 7.614795 7.758837 8.107142 9.281681 5.027461 6.389801 6.450059 6.942846 7.909911 8.180787 8.199433 9.283141"
